id,url,title,parkCode,description,category,relatedRoadEvents,lastIndexedDate
A1AF6922-BA1A-4F82-80F5-665B364E1346,https://www.nps.gov/glca/learn/news/lpp.htm,Beware of Harmful Algal Blooms,glca,Harmful Algal Blooms with the presence of cyanotoxins have been found in multiple areas at Lake Powell in concentrations that are at the high end of safe exposure levels. Use caution and avoid unnecessary exposure to reservoir water if recreating.,Caution,[],2025-09-30 00:00:00.0
DF4F7F86-3E88-4D59-BC3A-945F1BCE6932,,Wheeler Peak Campground Closed due to Winter Weather Conditions,grba,Wheeler Peak Campground is closed for the season as of 09/30/2025 for winter weather conditions. All other campgrounds remain open at this time.,Park Closure,[],2025-09-30 00:00:00.0
F29E4B87-4595-4B1F-9318-641FCDDDBCE9,,Wheeler Peak Scenic Drive Closed at Mather Overlook (6mi),grba,The Wheeler Peak Scenic Drive is Closed at Mather Overlook for seasonal winter closure as of 09/30/2025.,Park Closure,[],2025-09-30 00:00:00.0
9D047BC4-DC86-4A9D-AF1E-8299D40C6A71,https://www.nps.gov/noca/planyourvisit/road-conditions.htm,Cascade River Road Closure,noca,Cascade River Road is closed at milepost 20 (Eldorado parking lot) three miles before the trailhead. Cascade River Road usually opens in mid-summer depending on snow and road damage. Foot and bicycle traffic is permitted beyond the gate.,Park Closure,[],2025-09-30 00:00:00.0
17B42D3F-84E4-4B78-900F-670C9D625658,,Sept. 29-Oct. 3 approved Uncrewed Aircraft System (drone) use,slbe,"Research under approved permit entitled ""Mapping dune erosion and sand transport at Sleeping Bear Dunes National Lakeshore"" will be conducted via Uncrewed Aircraft System (drone) that will be flown at the following locations: Dune Climb, Pierce Stocking Scenic Drive Overlook #9, Pyramid Point, Empire Bluff trail (boardwalk and bluff edge area).",Information,[],2025-09-29 00:00:00.0
36736D3B-B300-4DD0-B546-67C6374A7E1B,,Beach safety closure in place in northern Rodanthe,caha,"Due to the presence of threatened oceanfront structures, the beach in the village of Rodanthe, from East Point Drive south for approximately 0.15 miles to Surfside Drive, is closed.",Park Closure,[],2025-09-29 00:00:00.0
51204133-7729-4B51-B78F-7870E3FFB757,,High Wind and Rip Current Risk from Offshore Storms,cuis,"The National Park Service is closely monitoring the tropics for the development of weather systems with potential to impact the surrounding area. Visitor Services are operating under normal conditions at this time. Please check updates before visiting. We are expecting the severe risk of rip currents now until further notice. Please avoid swimming during this time. For up-to-date alerts and hazards, follow the link to the National Weather Service. https://www.weather.gov/jax",Danger,[],2025-09-29 00:00:00.0
0E31ECDE-AF77-4BA3-9005-C064906DCBB6,https://www.nps.gov/romo/planyourvisit/hiking.htm,Temporary Trail Closure Impacting Access to Dream Lake & Emerald Lake,romo,"Beginning today, September 29 through Thursday, October 2, and again Monday, October 6 through Thursday, October 9, trail access to Dream Lake and Emerald Lake will be closed to all uses for a bridge replacement project. Dream Lake & Emerald Lake will not be accessible during this closure. This popular trail section will reopen Friday through Sunday (Oct 3 through Oct 5) and close again on Monday, Oct 6. All other trails in the Bear Lake area will remain open, including access to Lake Haiyaha.",Park Closure,[],2025-09-29 00:00:00.0
32D952FE-69A1-422A-BD2B-D3D00CF05EE1,,Preservation Work at Mission Concepción Church,saan,"The church facade at Mission Concepción is receiving some preservation work stabilizing deteriorated masonry, removal of cement-based mortars and more. Access to the site and church remains open.",Information,[],2025-09-29 00:00:00.0
E9C17771-F339-4500-99E8-B712752FB66E,,Bookstore Closed September 29-October 1,deto,The Bookstore will be closed September 29-October 1. During this time the Visitor Center will remain open.,Park Closure,[],2025-09-29 00:00:00.0
11465413-C4F3-441C-BFF9-BEB55AB9052D,,Be City Smart: Take precautions to secure your vehicle and valuables.,petr,This is an urban park. Don't hide valuables inside your car. Carry items with you on hike. Lock your vehicle and set car alarm. Report suspicious persons loitering/peeking in cars. Call 928-638-7805,Caution,[],2025-09-29 00:00:00.0
98CB65BD-C200-47D3-A9FD-B3B452B9DC5D,https://www.nps.gov/grsa/planyourvisit/medano-pass-road.htm,Medano Pass Primitive Road Impassible to Most Vehicles at Crossing Two,grsa,Erosion and deep mud near the second creek crossing are making the road impassible to most vehicles. Park road crews are repairing this section. Please check the park website here for updates before your trip.,Caution,[],2025-09-29 00:00:00.0
58E30F52-2D8A-44AE-902D-651FA61A04F4,,"Parking Closure of Fort Mason Bay Street Lot Starting October 6, 2025",goga,"Bay Street Parking Lot at upper Fort Mason will close to vehicles on October 6. Lot will be closed Fall 2025 through Fall 2026. Lot will be fenced and used as a staging area for utilities project occurring at Fort Mason. Do not park in lot after midnight on October 5, 2025. Vehicles will be towed at owner's expense.",Park Closure,"[{'title': 'Parking Closure of Fort Mason Bay Street Lot Starting October 6, 2025', 'id': '58E30F52-2D8A-44AE-902D-651FA61A04F4', 'type': 'roadevent', 'url': 'https://www.nps.gov/goga/planyourvisit/conditions.htm'}]",2025-09-29 00:00:00.0
6EC20CC5-4731-4E02-BDE1-AC5330C09182,,Oct 3-5: Temporary Lane Closure on Rock Creek and Potomac Parkway,rocr,"From Friday, Oct. 3 at 8 pm until Sunday, Oct. 5 at 8 pm, the right southbound lane of Rock Creek and Potomac Parkway will be closed between P Street NW and Pennsylvania Avenue NW to allow DC Water to conduct repair work.",Information,[],2025-09-29 00:00:00.0
3032989A-A3CF-4ED8-B80F-FB84A828D76B,,"Oct 3-5: Temporary Closure of Multi-Use Trail, P St to Pennsylvania Ave.",rocr,"From Friday, Oct. 3 at 8 pm until Sunday, Oct. 5 at 8 pm, the multi-use trail between P Street NW and Pennsylvania Avenue NW will be closed for DC Water to conduct repair work. During the closure, please follow the signs which indicate a detour route.",Information,[],2025-09-29 00:00:00.0
B500783E-4014-4447-A7A0-5EED9674D710,https://www.nps.gov/bith/planyourvisit/safety.htm,Hunting Season Underway: Sep 27 to Feb 28,bith,"Hunting is allowed in the following units: Big Sandy Creek, Beech Creek, Lance Rosier, Beaumont, Neches Bottom & Jack Gore Baygall. People entering those units should wear orange. Most hiking trails are NOT in hunting zones (exception: Big Sandy Trail).",Caution,[],2025-09-29 00:00:00.0
8D3FD88C-64BF-4D90-B73B-89BDB9E79E72,,Park phones are out of order,whsa,Phones lines at White Sands National Park are currently down. If you need to reach the park please email whsa_interpretation@nps.gov.,Information,[],2025-09-29 00:00:00.0
AE71426A-C201-4410-AA1B-D2E044B85655,,Flash flood risk on HWY 35 and HWY 15,gicl,"Hwy 35 and HWY15 is at risk for flash flooding. Please exercise caution while traveling and check the latest weather updates before your trip. Don't drown, turn around!",Caution,[],2025-09-29 00:00:00.0
0F3957FA-F885-4795-83DE-CE214FB511BA,,Temporary Closure of Petroglyph Boardwalk,kaho,"We will be working to replace the petroglyph boardwalk beginning on October 27th, 2025, through February 1st, 2026. During this time, the boardwalk will be closed for renovations.",Information,[],2025-09-29 00:00:00.0
3E4B8C08-23A0-4F40-B290-53BB4959E6CD,https://www.nps.gov/shen/planyourvisit/alert-system.htm,Get Skyline Drive Status Updates,shen,"Sign up for Shenandoah Alerts by texting SHENALERTS to 888777. Any time there are closures, re-openings, or other important safety-related alerts, subscribers will receive a notification via text. You may unsubscribe at any time.",Information,[],2025-09-29 00:00:00.0
E0AB5DF7-E8C9-4E12-B0AA-3D7705426589,https://www.nps.gov/mora/learn/news/paradise-water-system-and-restrooms-shut-down-until-further-notice.htm,Paradise Water Supply Limited - Please help conserve water!,mora,"After an outage of the Paradise water supply, some water service has been restored. There are limited flush restrooms available at Paradise. Porta-potties are available at Paradise & Narada Falls.",Information,[],2025-09-29 00:00:00.0
442E4F2B-C87C-4984-8315-DA2B02F729F3,https://www.nps.gov/biso/learn/news/big-south-fork-announces-temporary-closure-of-blue-heron-tipple-bridge.htm,Big South Fork Announces Temporary Closure of Blue Heron Tipple Bridge,biso,"Big South Fork NRRA has announced the temporary closure of the historic Blue Heron Tipple Bridge, effective immediately in the interest of visitor safety. A recent bridge safety inspection conducted by the Federal Highway Administration identified structural issues specific to the pier’s bridge decking which is now leaning beyond acceptable standards.",Information,[],2025-09-29 00:00:00.0
587FA8D1-FD28-4A77-A5B8-6ED5CC62BAA0,https://www.nps.gov/biso/learn/news/access-to-big-south-fork-s-scenic-o-w-road-blocked-due-to-bridge-failure.htm,Access to Big South Fork’s Scenic O&W Road Blocked Due to Bridge Failure,biso,Road access to O&W Road was blocked by order of the State of Tennessee Department of Transportation. Pine Creek Bridge was closed by the state because it was deemed unsafe. The closed bridge is the first bridge on O&W Road after the Toomey Road intersection. The closed bridge is outside of the boundary of the Big South Fork National River & Recreation Area.,Information,[],2025-09-29 00:00:00.0
84FFB807-A9DE-4374-8859-A45FC7BBDC32,,"Effective October 6, 2025 - Park Visitor Center - Temporarily Moved",malu,"Effective October 1, 2025, the park Visitor Center at 450 Auburn Avenue will be closed for renovations. The temporary Visitor Center will be located at Fire Station No. 6 at 39 Boulevard. Visitor parking GPS: 423 John Wesley Dobbs NE Atlanta Georgia",Information,[],2025-09-29 00:00:00.0
A8445CF7-4BD1-4EA1-8D97-7A3269314892,https://www.nps.gov/perl/learn/news/advance-reservations-for-uss-arizona-memorial-will-pause-beginning-july-9-while-preservation-work-continues.htm,"September 30, 2025, boats will operate in the vicinity of the memorial.",valr,"Tomorrow, September 30, we will be operating boats on the harbor in the vicinity of the USS Arizona Memorial from 8 am to 3:30 pm. Please expect extended delays between boats. Preservation work may impact direct access to the memorial.",Information,[],2025-09-29 00:00:00.0
806AD68E-F1E5-4D28-9A5E-910193F04473,,All Fort Sumter Ferries CANCELED Monday Sept 29 and Tuesday Sept 30,fosu,"All Fort Sumter ferries are CANCELED on Monday September 29 and Tuesday September 30, 2025. For more information about tickets, please contact Fort Sumter Tours at (843) 883-3123 or www.fortsumtertours.com All other Charleston National park sites will remain open including Fort Moultrie and the Fort Sumter Visitor Center at Liberty Square. For updated closure information, please monitor this website or visit our Facebook page.",Park Closure,[],2025-09-28 00:00:00.0
D143C837-28F0-4759-B604-8DB084276532,https://www.nps.gov/elma/planyourvisit/driving-to-big-tubes.htm,NPS 300 Road Conditions,elma,"NPS 300 to Big Tubes has not been evaluated since the most recent rainstorms. A high clearance, four-wheel drive vehicle is recommended.",Caution,[],2025-09-28 00:00:00.0
AA99D6DB-C985-49E1-9A88-1C9A4AA97137,https://www.nps.gov/elma/learn/management/superintendent-s-compendium.htm,Stage II Fire Restrictions in effect,elma,"Stage II Fire Restrictions are in effect until further notice. The following activities are prohibited: building, maintaining, attending or using a fire, campfire, charcoal, coal, or wood stove and smoking, except within an enclosed vehicle.",Caution,[],2025-09-28 00:00:00.0
C380E82F-798C-43B7-8B19-510BB2BEDB6D,,Debris on Roadways,moja,Use caution when driving through Mojave National Preserve. All roadways have debris on them due to storms over the weekend and may be flooded.,Caution,[],2025-09-28 00:00:00.0
BC1BD87D-7655-41BA-8A8E-80B3470E053E,,Accessible Lift Temporarily Out Of Order,mava,"Due to unforeseen circumstances, the accessible lift to Lindenwald is temporarily out of order. We apologize for any inconvenience.",Information,[],2025-09-28 00:00:00.0
E124DAA0-C101-4260-A0A4-BF9A02E596A4,https://www.nps.gov/gero/planyourvisit/hours.htm,George Rogers Clark NHP in the Eastern Time Zone,gero,George Rogers Clark National Historical Park is located in the Eastern Time Zone. The memorial closes 15 minutes before the visitor center.,Information,[],2025-09-28 00:00:00.0
34716E37-18AB-400B-96D0-2DA7E0F28B40,,Road Closures,bibe,"River Road East is open from the eastern end to the Glenn Spring Road junction. Glenn Spring Road is open. The paved road between Castolon and Santa Elena Canyon (Park Route 16) is open. River Road is closed west of the Glenn Springs Road junction. Old Ore Road, Hot Springs Road, and Black Gap Road are all closed. Unpaved roads require 4-wheel drive. Your safety is your responsibility, be prepared to self-rescue.",Park Closure,[],2025-09-28 00:00:00.0
BF331E2F-E6DB-407A-B873-443B8BA6B2DD,,Trolleys Out of Service,lowe,The Lowell National Historical Park Trolleys are currently not operating for public runs or on any scheduled tours due to unplanned complications with the power lines,Information,[],2025-09-28 00:00:00.0
3AD423CE-5CD9-4A38-85E6-142AC41B7CC9,,High winds expected as impact of offshore storms,fofr,The National Park Service is closely monitoring the tropics. High winds are expected through the week. Be aware of surroundings as trees can be vulnerable to high wind. Visitor Services are operating under normal conditions at this time. Please check updates before visiting.,Caution,[],2025-09-28 00:00:00.0
B28BDD5D-BBC4-454C-A34B-BE47D64A1C3A,,Oasis of Mara Trail Closed,jotr,"Due to a heavy flooding event, the Oasis of Mara Trail is closed until further notice.",Park Closure,[],2025-09-28 00:00:00.0
6BF7A5BC-3966-4B77-B66D-A09141E99AF6,,Use Caution Kelso Dunes Road,moja,"Flooding has resulted in damage to Kelso Dunes Road. Watch for numerous washouts with dirt, rocks, potholes, debris and sharp shoulder drop-offs. Use caution when driving and watch for road crews at work.",Caution,[],2025-09-28 00:00:00.0
DE5C4C84-FCB5-497A-8F27-117A76E9CF6D,,Temple Bar Road Down to One Lane at Several Wash Crossings,lake,Due to a storm on 9/26/25 the road was flooded at several wash crossings. The road has reopened but is down to one lane in several places. Use caution where rocks are still in the road and areas that work crews are present.,Caution,[],2025-09-27 00:00:00.0
33D1E725-7BC2-4F92-A760-13414335B41D,https://www.nps.gov/lake/planyourvisit/hemenway-harbor-boat-launch-extension-project-summer-2025.htm,Hemenway Harbor Boat Ramp Extension - Reduced Lane Capacity - Expect Delays,lake,"Boaters who want to launch at Hemenway Harbor this summer and early fall may experience delays at the ramp on busy days. The nearby PWC launch is open to boats during the project. Callville Bay, Echo Bay, Temple Bar, and South Cove launches are open on Lake Mead.",Caution,[],2025-09-27 00:00:00.0
722FB041-2F1D-4763-83C5-5FFF92887485,,New Fire Regulations,deto,See the Superintendent's Compendium for more information.,Information,[],2025-09-27 00:00:00.0
1C39489F-72C4-47D3-A77F-36F2DAB63CE7,,Gatlinburg Bypass closed,grsm,The Gatlinburg Bypass is closed due to a landslide blocking the roadway. Park officials are currently assessing the situation.,Park Closure,"[{'title': 'Gatlinburg Bypass closed', 'id': '1C39489F-72C4-47D3-A77F-36F2DAB63CE7', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2025-09-27 00:00:00.0
D7753095-F79A-4223-9014-D0FC478E4D96,,Bonita Canyon Campground Restroom Construction,chir,The restrooms at the campground will be closed for construction from 8/1/25 to 10/20/25. Portable toilets and a handwashing station will be available in the campground. Restrooms with running water are available at the Visitor Center and Faraway Ranch.,Park Closure,[],2025-09-27 00:00:00.0
509BA687-3354-4CBF-B1C9-1DAE23F4B1EC,,Campfires Allowed in Front-Country Campgrounds Starting September 27,olym,"Due favorable weather conditions, Olympic National Park and Olympic National Forest are returning to Stage 1 campfire restrictions. Campfires are allowed in front-country campgrounds in established fire rings.",Information,[],2025-09-27 00:00:00.0
48D3D569-48E9-4387-A2D1-7572A7DA8CC5,,Dyer Road Closed Due to Road Construction,chch,"Road closures/construction will continue on the east section of Dyer Road, between Glenn-Kelly and LaFayette Roads, and will extend onto the west portion of Dyer Road, between Glenn-Kelly and Chickamauga-Vittetoe Roads. During the closures, all public traffic, including motorists, equestrians, pedestrians and bicyclists, is prohibited from using the closed sections.",Information,"[{'title': 'Dyer Road Closure', 'id': '48D3D569-48E9-4387-A2D1-7572A7DA8CC5', 'type': 'roadevent', 'url': 'https://www.nps.gov/chch/planyourvisit/conditions.htm'}]",2025-09-26 00:00:00.0
2EFF9BC8-6E01-4172-8D1E-6F62E325C6C4,,Kaymoor Trail closure at Wolf Creek,neri,The Kaymoor Trail will be temporarily closed from Wolf Creek parking area on Fayette Station Road approximately 1/4 mile up the hill to the bend below Long Point from Monday September 29 through Friday October 3. Contractors will be performing geotechnical drilling to identify potential safety hazards related to underground water.,Information,[],2025-09-26 00:00:00.0
C3963F67-E61D-4540-A526-9F764480BEDD,,Tour Schedule Change,mava,"Due to a private group tour, there will be no publicly available 3 pm house tour on Thursday October 2, 2025. We apologize for any inconvenience.",Information,[],2025-09-26 00:00:00.0
ADB74044-4F38-4E26-AD6F-88F4BCCA1F20,https://www.nps.gov/grba/planyourvisit/current-projects.htm,"Lehman Caves Closure - October 20, 2025 to Spring 2026",grba,"Lehman Caves and the Lehman Caves Visitor Center will close to the public on October 20, as work begins on a six-month, $5.8 million project to replace the cave’s 48-year-old, failing electric lights. Project completion is planned for late spring 2026. The Great Basin Visitor Center and the rest of Great Basin National Park remains open.",Park Closure,[],2025-09-26 00:00:00.0
447289B4-619A-4A95-BEB4-0FD817FE190C,,Park Phone Lines Out of Service- To Book Education Programs,lowe,"The Park education program line (978-970-5080) is currently out of service. To learn more about education programs through the Tsongas Industrial History or to book your school field trip today, please call 978-934-4265, email tihc@uml.edu. You can visit www.uml.edu/tsongas for more information.",Information,[],2025-09-26 00:00:00.0
1650C0FE-016C-4D80-BD03-D73715A4E1D8,,Tour Schedule Change,mava,"Due to a private group tour, there will be no publicly available 11 am house tour on Thursday October 17, 2025. We apologize for any inconvenience.",Information,[],2025-09-26 00:00:00.0
04A84A1A-EF20-4341-B6A7-F6FDEAC8D5AE,,Tour Schedule Change,mava,"Due to a private group tour, there will be no publicly available 11 am house tour on Thursday October 10, 2025. We apologize for any inconvenience.",Information,[],2025-09-26 00:00:00.0
D9A9DD10-3B81-4982-A6B4-584A050C5E37,https://www.nps.gov/blri/planyourvisit/road-construction-projects.htm,Ongoing Road Projects and Helene Recovery,blri,"Parkway areas closed for ongoing road maintenance, construction, and Helene recovery projects.",Park Closure,"[{'title': 'Ongoing Road Projects and Helene Recovery', 'id': 'D9A9DD10-3B81-4982-A6B4-584A050C5E37', 'type': 'roadevent', 'url': 'https://www.nps.gov/blri/planyourvisit/conditions.htm'}]",2025-09-26 00:00:00.0
9106B54E-9E68-4058-B3DE-B95AC3F22B1F,https://www.nps.gov/cany/planyourvisit/grand_view_point_construction.htm,Grand View Point Closed for Construction Weekdays July 28 through September,cany,"Grand View Point Overlook, Grand View Point Trail, and 0.3 mi (0.5 km) of park road is closed Monday to Thursday. The closure applies to all uses, including vehicles, tour buses, motorcycles, bikes, & hikers. Parking is open but limited Friday to Sunday.",Park Closure,[],2025-09-26 00:00:00.0
C43FA812-4F31-4597-AD48-B102D340F997,https://www.nps.gov/mora/planyourvisit/trails-and-backcountry-camp-conditions.htm,Naches Peak Trail Closed,mora,Access is prohibited to Naches Peak Trail to protect public health and safety due to the vicinity of the Wildcat Fire burning outside of the park to the east. Shriner Peak Trail & trailheads on SR 123 between Cayuse Pass and Stevens Canyon Road have reopened as of 9/19/25.,Park Closure,[],2025-09-26 00:00:00.0
9444532C-FB52-42F2-956C-E475C5CF73FB,,Delays on Wawona Road (continuation of Highway 41),yose,Expect delays on Wawona Road between Yosemite Valley and Wawona from Sundays at 11 pm through Fridays at 4:30 pm until approximately mid-November.,Information,"[{'title': 'Wawona Road Delays', 'id': '9444532C-FB52-42F2-956C-E475C5CF73FB', 'type': 'roadevent', 'url': 'https://www.nps.gov/yose/planyourvisit/conditions.htm'}]",2025-09-26 00:00:00.0
5E8A4127-26B7-445F-849A-0488677FD890,,"EV Chargers at Fort Mason Bay Street Lot Offline Week of September 29, 2025",goga,EV Chargers at Fort Mason Bay Street Lot will be offline during the week of September 29. Chargers are being relocated due to Bay Street Parking Lot closure.,Information,[],2025-09-26 00:00:00.0
FB10585E-5FC6-4944-8C2E-2118DECF5D7C,https://www.nps.gov/mabi/planyourvisit/accessibility.htm,Alternative and Limited Access During Construction at Park Entrance and Mansion,mabi,Visitors and vehicles may be temporarily rerouted and wheelchair access into the mansion may be unavailable during construction. Please call the visitor center for additional information if you use a mobility device or need accessible parking.,Information,[],2025-09-25 00:00:00.0
199425EB-2593-4F31-8C69-474DED4F5FC6,,Potential delays during stone wall rehabilitation project,shen,"The stone wall that lines Skyline Drive is being rehabilitated between miles 72.8 and 75.7. There will be a single lane closure for the duration of this work, with an established work zone that will be managed by flaggers. Visitors should expect delays.",Caution,[],2025-09-25 00:00:00.0
9C0563B6-2B0F-496B-82BC-BE394B64BEE3,,Necessary Upgrades Underway at Dickey Ridge Visitor Center in September,shen,"For visitor safety, please avoid the construction area and follow all signage and fencing. Visitor center operations will not be impacted.",Information,[],2025-09-25 00:00:00.0
EB9C9565-125F-4EFB-B20E-DC9AD1A8E842,https://www.nps.gov/calo/learn/news/storm-watch.htm,Weather Advisory,calo,"Cape Lookout National Seashore is closely monitoring the Atlantic storms. If you're planning to visit the park this weekend or next week, stay alert to changing weather conditions.",Danger,[],2025-09-25 00:00:00.0
D0CD7A77-A451-4C33-9870-03D0CF4FAB51,https://www.nps.gov/rocr/planyourvisit/scenic-driving-days.htm,"Beach Drive open for Driving Day on October 11, 2025",rocr,"On October 11, from 11 am to 4 pm, the entire length of Beach Drive in Rock Creek Park will be open for a scenic driving day for visitors who prefer to enjoy the park from their cars. Those who frequently bike or hike in these areas should plan accordingly.",Information,[],2025-09-25 00:00:00.0
F93E9C9B-1838-4CBF-A85A-A9C466AEDFC4,,Water Availability,gicl,"There is NO water at the scorpion campgrounds and the trailhead for the cliff dwellings. Water is available at the Visitor Center, Woody's corral and TJ's corral.",Information,[],2025-09-25 00:00:00.0
4F0850D6-ACCE-472F-B601-7C928A02C699,,Burn Scar Flash Flood Risk on NM15 and NM35 to the Dwellings,gicl,Due to the Trout Wildland Fire there is a risk of flash flooding during rain events. there are many low crossings on NM35 be cautious. Turn around don't drown. This risk will likely go on for multiple years.,Caution,[],2025-09-25 00:00:00.0
D14CD43E-A8BB-4B37-8193-062ACD132809,,Phone Service Disruption - Charlestown Navy Yard Visitor Center,bost,"We are working on resolving an issue with our phone lines at the Charlestown Navy Yard Visitor Center. To reach the NPS Visitor Center at Faneuil Hall, dial 617-429-6760.",Information,[],2025-09-25 00:00:00.0
6938D9EC-204E-4BCB-95D9-E4A7B998179F,,LSR Preserve Construction,grte,The Laurance S. Rockefeller Preserve parking lot and areas around the Preserve Center will be closed for construction beginning September 23. Use Death Canyon Trailhead to access Phelps Lake.,Information,[],2025-09-25 00:00:00.0
8B97962A-CD01-45F9-BBD9-F165A4E0E50E,,William Johnson House Closed Monday,natc,"The William Johnson House will be closed to the public on Monday, September 29, 2025. Electricians will be connecting a new emergency generator at the site and will need to disconnect electricity during installation. We apologize for any inconvenience.",Park Closure,[],2025-09-25 00:00:00.0
F5520C75-42FC-4498-9551-12146E13A80D,https://www.nps.gov/frri/learn/management/superintendents-compendium.htm,Update to the Superintendent's Compendium,frri,"Freedom Riders National Monument recently updated the Superintendent’s Compendium for 2025. The Compendium is a set of designations, closures, permit requirements, and other restrictions created by the Superintendent to manage the national monument. There were several changes from the previous version especially concerning Filming and Still Photography (Section 1.5), and the designation a Demonstration and First Amendment Site (Section 2.51).",Information,[],2025-09-25 00:00:00.0
CA010190-E35C-44DB-8D7F-C5DBDA61D765,https://www.nps.gov/bicr/learn/management/superintendents-compendium.htm,Update to the Superintendent's Compendium,bicr,"Birmingham Civil Rights National Monument recently updated the Superintendent’s Compendium for 2025. The Compendium is a set of designations, closures, permit requirements, and other restrictions created by the Superintendent to manage the national monument. There were several changes from the previous version especially concerning Filming and Still Photography (Section 1.5), and the designation a Demonstration and First Amendment Site (Section 2.51).",Information,[],2025-09-25 00:00:00.0
0C295297-2DE0-4ECC-AD36-9E7E0F1C3920,,Intermitent Road Work,foun,Visitors should be aware that there is road work occurring in the park starting August 12th and potentially continuing through November. There may be some minor delays and alternative parking arrangements.,Information,[],2025-09-25 00:00:00.0
56BFD278-C4DD-47E2-B538-D5B655C316D4,,Visitor Center hours changing on October 1st,sagu,"Starting October 1st, both visitor centers (Red Hills and Rincon Mountain) will revert to Winter Hours, opening at 9am and closing at 5pm. Trails remain open 24 hours a day, and the loop roads are open from dawn to dusk.",Information,[],2025-09-25 00:00:00.0
