Park Name,Type of Unit,State,Reg,Alpha,Unit,index site,Alert title list,Alert description,Alert full description,Number of alerts,Number of alerts with description,Road Closure Alert Flag
American Memorial Park,American Memorial Park,MP,PW,AMME,,https://www.nps.gov/AMME/planyourvisit/conditions.htm,[''],[],[],1,0,0
Andersonville,National Historic Site,GA,SER,ANDE,1.0,https://www.nps.gov/ANDE/planyourvisit/conditions.htm,[],[],[],0,0,0
Aniakchak,National Monument & Preserve,AK,AKR,ANIA,2.0,https://www.nps.gov/ANIA/planyourvisit/conditions.htm,[],[],[],0,0,0
Andrew Johnson,National Historic Site,TN,SER,ANJO,1.0,https://www.nps.gov/ANJO/planyourvisit/conditions.htm,['Caution'],"['Notice to travelers to National Cemetery', 'Sidewalk work in National Cemetery']","['Due to the narrow roadway & tight turn, RVs, mobile homes, charter buses, delivery trucks, or vehicles with trailers are prohibited from the crest of Monument Hill. Check for information about parking at the Visitor Center upon your arrival.', 'The maintenance crew is working on rehabilitation of the sidewalk surrounding the Presidential burial plot. Be aware that some sections of the sidewalk may be closed.']",1,2,0
Antietam,National Battlefield,MD,NCR,ANTI,1.0,https://www.nps.gov/ANTI/planyourvisit/conditions.htm,"['Information', '']","['Temporary Nighttime Closures for Deer Management', 'Artifacts Removed From Museum']","['From January 2 to April 15, 2024, the NPS may temporarily close select park areas or roads outside of park operating hours to conduct deer management operations.', 'Date Posted: 1/18/2024']",2,2,0
Appomattox Court House,National Historical Park,VA,NER,APCO,1.0,https://www.nps.gov/APCO/planyourvisit/conditions.htm,[''],[],[],1,0,0
Apostle Islands,National Lakeshore,WI,MWR,APIS,1.0,https://www.nps.gov/APIS/planyourvisit/conditions.htm,[''],[],[],1,0,0
Appalachian,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",NER,APPA,1.0,https://www.nps.gov/APPA/planyourvisit/conditions.htm,['Park Closure'],['CENTRAL VA – PARKING LOT CLOSURE– ROUTE 311/MCAFEE KNOB'],"['McAfee Knob/Route 311 parking area along the A.T. in Catawba will be closed Thursday, November 30. The lot is being closed to allow for the construction of a new pedestrian footbridge over Route 311.']",1,1,0
Arches,National Park,UT,IMR,ARCH,1.0,https://www.nps.gov/ARCH/planyourvisit/conditions.htm,"['Park Closure', 'Information']","['Salt Valley Road to close temporarily March 18-20', 'Visitor Center Water Filling Station Unavailable', 'Timed Entry Reservation Pilot 2024']","['Maintenance crews will apply road surface treatments to the unpaved Salt Valley Road March 18-20, 2024. The road will close to all uses during this time.', 'Date Posted: 2/8/2024', 'Date Posted: 1/1/2024']",2,3,0
"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,NCR,ARHO,1.0,https://www.nps.gov/ARHO/planyourvisit/conditions.htm,[],[],[],0,0,0
Arkansas Post,National Memorial,AR,MWR,ARPO,1.0,https://www.nps.gov/ARPO/planyourvisit/conditions.htm,[],[],[],0,0,0
Assateague Island,National Seashore,"MD,VA",NER,ASIS,1.0,https://www.nps.gov/ASIS/planyourvisit/conditions.htm,[],[],[],0,0,0
Aztec Ruins,National Monument,NM,IMR,AZRU,1.0,https://www.nps.gov/AZRU/planyourvisit/conditions.htm,['Information'],['Pet Policy'],"['Pets are not allowed inside the visitor center at Aztec Ruins, nor are they allowed on the archaeological trail through Aztec West. Pets are welcome in the parking lot, the picnic area, and along the Old Spanish Trail. Service animals are the exception.']",1,1,0
Badlands,National Park,SD,MWR,BADL,1.0,https://www.nps.gov/BADL/planyourvisit/conditions.htm,"['Caution', '']",['Navigation'],"['Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.']",2,1,0
Bandelier,National Monument,NM,IMR,BAND,1.0,https://www.nps.gov/BAND/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information']","['Most of Bandelier Remains Open, Tsankawi Unit Closed', 'No Food Service Available', 'The Use of GPS is NOT Recommended', 'Bandelier Shuttle Service Done For the Season', 'Uber, Lyft, and Other ""Taxi"" Services']","[""Bandelier National Monument's Tsankawi Unit will be closed due to extensive construction work."", 'The cafe, Sirphey at Bandelier, is closed for the winter and will reopen March 1, 2024. During this time, the Park Store has snacks and water available. Freezing conditions may impact water filling stations. Please plan accordingly.', 'Numerous visitors have been routed to remote trailheads and out-of-the-way roads trying to use GPS to reach the main park area or shuttle stop.', 'The mandatory shuttle to Bandelier has ended for the 2023 season. Visitors may drive their private vehicles directly to the Bandelier Visitor Center. To avoid parking issues, arrive earlier in the day or later in the afternoon. The park is open until dusk', 'Bandelier is in a remote location, with cell service in the canyon limited to Verizon 4G only. Services like Uber and Lyft will bring you here, but there may be no way to contact a ride out. Please plan your pickup before being dropped off at Bandelier.']",3,5,0
Bering Land Bridge,National Preserve,AK,AKR,BELA,1.0,https://www.nps.gov/BELA/planyourvisit/conditions.htm,[''],[],[],1,0,0
Bent's Old Fort,National Historic Site,CO,IMR,BEOL,1.0,https://www.nps.gov/BEOL/planyourvisit/conditions.htm,"['Information', '']","['Second Level Access Reduced', 'A Short Walk is Required to Reach the Fort', 'Winter Reduced Operating Hours for the Fort']","['Access to the second level of the fort is temporarily restricted. The park remains open, but visitor access to the fort will be limited to its ground floor spaces and rooms. ', ""A 1/4 mile (1,275 feet) walk on a paved trail from the parking area is required to reach the gate of the fort. At the end of your visit, you'll return to your vehicle along the same path. "", 'Date Posted: 1/2/2024']",2,3,0
Belmont-Paul Women's Equality National Monument,Belmont-Paul Women's Equality National Monument,DC,NC,BEPA,,https://www.nps.gov/BEPA/planyourvisit/conditions.htm,['Information'],"[""Belmont-Paul Women's Equality NM exterior lift out of order""]",['Renovation work funded through the Great American Outdoors Act (GAOA) is complete. The museum is open to the public on Fridays-Sundays from 10 am - 5 pm. The exterior lift is temporarily out of order. We apologize for the inconvenience.'],1,1,0
Big Bend,National Park,TX,IMR,BIBE,1.0,https://www.nps.gov/BIBE/planyourvisit/conditions.htm,"['Danger', 'Park Closure', 'Caution', 'Information', 'Alert Locations']","['Fire Ban in the Chisos Mountains 2/27 until further notice', 'Emergency Repairs to Maverick Entrance Road 2/26 to 3/1', 'Santa Elena Canyon Trail', 'Tuff Canyon TRAIL CLOSURE', 'Temporary Trail Closure to Protect Nesting Falcons', 'Big Bend Spring = Full Campgrounds', 'Big Bend is a NO DRONE Zone', 'Bringing a Pet to Big Bend?']","['Due to Red Flag extreme fire conditions, the Chisos Basin is under a fire ban until further notice. All fires are prohibited, including charcoal grills. Liquid fueled/propane cook stoves are allowed. No smoking on any trails. ', 'Date Posted: 2/22/2024', 'To access the Santa Elena Canyon Trail, hikers must first cross the bed of Terlingua Creek, and climb a short but steep bank. Conditions change constantly at this location (sand, mud, or shallow/deep water). Carefully assess before attempting to cross.', 'The Tuff Canyon Trail and overlooks are CLOSED to entry until further notice, due to a rock fall and unstable slopes.', 'From February 1st through May 31st, a portion of the East Rim Trail in the Chisos Mountains will be closed to protect nesting falcons. The closure includes East Rim backpacking campsites ER-4, 5, 6, 7, 8, 9. For details and a map, click ""more.""', 'March is the busiest time of the year in Big Bend. Please plan ahead and do NOT travel all the way to Big Bend without camping/lodging arrangements. Be prepared for full parking and busy facilities. Select ""more"" below for further details.', 'The use of drones is prohibited in Big Bend National Park. Thank you for preserving the peace and tranquility of Big Bend. ', 'Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended']",5,8,0
Bighorn Canyon,National Recreation Area,"MT,WY",IMR,BICA,1.0,https://www.nps.gov/BICA/planyourvisit/conditions.htm,"['Information', '', '']",['COVID-19 Mask Requirement'],['Mask requirements vary from park to park and are dependent upon local public health status. '],3,1,0
Big Cypress,National Preserve,FL,SER,BICY,1.0,https://www.nps.gov/BICY/planyourvisit/conditions.htm,[],[],[],0,0,0
Big Hole,National Battlefield,MT,PWR,BIHO,1.0,https://www.nps.gov/BIHO/planyourvisit/conditions.htm,[],[],[],0,0,0
Biscayne,National Park,FL,SER,BISC,1.0,https://www.nps.gov/BISC/planyourvisit/conditions.htm,"['Caution', 'Information']","['Boater Awareness', 'Boca Chita Historic District', 'Camping and Docking at Boca Chita and Elliott Keys', 'Ride Share Services']","['Please use caution in park waters due to navigational markers that may be missing or moved due to unforeseen circumstances.', 'The Boca Chita Lighthouse will be closed for maintenance until 5/5/2024. The pavilion is also closed while a new roof is installed. ', 'Docking at Boca Chita and Elliott Keys: $25.00 Friday - Monday and Federal Holidays\nCamping at Boca Chita and Elliott Keys: $35.00 per night.\n\nPayments must be made on site using the recreation.gov phone app.', 'Convoy Point grounds, Jetty Trail, kayak launch, and picnic area open at 7 a.m. and close at 5:30 p.m. If you are using a ride share service for transportation to and from the park, ensure ride share services can be onsite before closing time.']",2,4,0
Big South Fork,National River & Recreation Area,"KY,TN",SER,BISO,1.0,https://www.nps.gov/BISO/planyourvisit/conditions.htm,['Information'],"['Black Bears at Big South Fork', 'Firewood ban is in effect for the park.', 'The Use of Drones is Prohibited at Big South Fork National River & Recreation Area']","['Black bears call Big South Fork NRRA home. Help keep them healthy and safe by storing all food, cooking items, feed, cosmetics and coolers properly stored when at campgrounds or in the backcountry.', 'Firewood ban is in effect for the park. Only firewood from the surrounding counties of  Scott, Morgan, Pickett, and Fentress, in Tennessee, and McCreary in Kentucky, can be brought into the park. Firewood is for sale or you may use dead and down wood.', 'Currently, the use of drones is prohibited at Big South Fork and all National Parks. Detailed information about the policy is available... \n']",1,3,0
Big Thicket,National Preserve,TX,IMR,BITH,1.0,https://www.nps.gov/BITH/planyourvisit/conditions.htm,"['Caution', '']",['Hunting Season Underway: Sep 30 to Feb 29'],"['Hunting is allowed in the following units: Big Sandy Creek, Beech Creek, Lance Rosier, Beaumont, Neches Bottom & Jack Gore Baygall. People entering those units should wear orange. Most hiking trails are NOT in hunting zones (exception: Big Sandy Trail).']",2,1,0
Black Canyon Of The Gunnison,National Park,CO,IMR,BLCA,1.0,https://www.nps.gov/BLCA/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information']","['Road Construction at Black Canyon South Rim - 2024 and 2025', 'No Water Available at Black Canyon', 'Winter Road Closures', 'Visitor Center May Be Temporarily Closed Due To Winter Conditions', 'Highway 50 Construction']","['Major road improvement projects will impact the park from late March-November 2024. Expect delays, alternating one-way traffic, and parking lot closures from the park boundary on Hwy 347 to the visitor center. More road work is scheduled for 2025.', 'Water has been turned off for the winter at the North and South Rims of the park, as freezing nighttime temperatures have arrived. Be prepared--bring all water needed for drinking and other purposes.', 'The North Rim Road, East Portal Road, and South Rim Road (beyond the visitor center) are closed for the season. They will reopen next spring as conditions permit. The East Portal Road is managed by the Bureau of Reclamation (not NPS). ', 'The South Rim Visitor Center may open late or close early due to snow and/or bad road conditions. We apologize for any inconvenience. ', 'Road construction and closures will continue in 2024. The project is located on US Highway 50 between mileposts 123 and 127, approx. 30 miles east of Montrose, Colorado. Refer to www.us50info.com for updated construction information.']",3,5,1
Blue Ridge,Parkway,"NC,VA",SER,BLRI,1.0,https://www.nps.gov/BLRI/planyourvisit/conditions.htm,"['Park Closure', 'Information']","['Temporary Closures Due to Winter Road Maintenance', 'Closures Due to Weather', 'Multiple road projects underway ', 'COVID-19 Mask Requirement']","['From late fall through the winter, park personnel conduct winter maintenance activities in multiple sections of the Parkway. These daily closures require full, 2-lane closures to all uses during the workday. ', 'Temporary winter weather-related closures may be in effect along the parkway. Please check the road and facility closure page for updates to the road status.', 'Road status information with links to project information is updated daily.', 'The NPS has updated its masking guidance based on the CDC’s COVID-19 Community Levels tool. Masking requirements will vary along the parkway based on local conditions. Masks are still required on all forms of enclosed public transportation. ']",2,4,1
Bluestone,National Scenic River,WV,NER,BLUE,1.0,https://www.nps.gov/BLUE/planyourvisit/conditions.htm,[''],[],[],1,0,0
Boston African American,National Historic Site,MA,NER,BOAF,1.0,https://www.nps.gov/BOAF/planyourvisit/conditions.htm,[''],[],[],1,0,0
Boston Harbor Islands,National Recreation Area,MA,NER,BOHA,1.0,https://www.nps.gov/BOHA/planyourvisit/conditions.htm,[''],[],[],1,0,0
Boston,National Historical Park,MA,NER,BOST,1.0,https://www.nps.gov/BOST/planyourvisit/conditions.htm,"['Information', '']","['Old North Church - Winter 2024 Hours', 'Faneuil Hall Great Hall', 'National Parks of Boston Delayed Opening - Wednesday, February 28']","['Date Posted: 2/1/2024', 'Date Posted: 1/8/2024', 'Date Posted: 2/23/2024']",2,3,0
Booker T Washington,National Monument,VA,NER,BOWA,1.0,https://www.nps.gov/BOWA/planyourvisit/conditions.htm,['Information'],['Winter Operations '],"['Effective December 3, 2023, the park grounds and restrooms will be open daily from 9:00 am - 5:00 pm. The Visitor Center will be open Wednesday through Sunday from 10:00 am - 4:00 pm.']",1,1,0
Bryce Canyon,National Park,UT,IMR,BRCA,1.0,https://www.nps.gov/BRCA/planyourvisit/conditions.htm,"['Park Closure', 'Information', 'Alert Locations', 'Bryce Canyon Airport']","['Fairyland and Paria Roads Open to Pedestrians', 'Winter Trail Closures', 'Main Road Status', 'Bryce Canyon is Open - No Reservations Required to Enter']","['The roads leading to Fairyland Point (1 mi) and Paria View (0.5 mi) close to vehicles the first Monday after Thanksgiving through the winter season. They remain open for hikers, snowshoers, and x-country skiers. Access Fairyland Loop from Sunrise Point.', 'The annual winter closures of the Wall Street side of Navajo Loop and the 1.5-mile section of Rim Trail between Inspiration and Bryce Points are in effect. The Two Bridges side of Navajo Loop remains open. The Rim Trail is open north of Inspiration Point.', 'The main park road is fully open to Rainbow Point (Mile 18 of 18). During snowstorms the road may temporarily close at Mile 3 for snowplow operations.', 'No reservations are required to enter Bryce Canyon National Park at any time of year. Simply pay your park entrance fee or present your America the Beautiful pass upon arrival.']",4,4,0
Brices Cross Roads,National Battlefield Site,MS,SER,BRCR,1.0,https://www.nps.gov/BRCR/planyourvisit/conditions.htm,[],[],[],0,0,0
Brown V Board Of Education,National Historic Site,KS,MWR,BRVB,1.0,https://www.nps.gov/BRVB/planyourvisit/conditions.htm,[],[],[],0,0,0
Buffalo,National River,AR,MWR,BUFF,1.0,https://www.nps.gov/BUFF/planyourvisit/conditions.htm,"['Park Closure', 'Information', 'Alert Locations']","['South Woolum Road Closed, Alternate Route Available', 'Drinking Water Not Available at Rush Campground', 'Parking is not permitted on the Kyles Landing Road (County Road 56)', 'Steel Creek Ranger Station Closed', 'Spring Creek Landing Closed to Vehicle-Assisted Launches ']","['In the interest of safety, the South Woolum Road has been closed. The Woolum launch and campground remain open. ', 'Drinking water is not available at Rush Campground. Please plan accordingly if you are planning to camp at Rush or utilize the water spigot before embarking into the Lower Wilderness. ', 'Parking will no longer be permitted on the road to allow space for emergency vehicles to safely enter the park. There will be ‘No Parking’ signs placed along the Kyles Landing Road, also known as County Road 56.', 'The Steel Creek Ranger Station is closed at this time. Please call or visit the Tyler Bend Visitor Center for Park information.', 'The Spring Creek Landing has been closed to vehicle-assisted launches. Watercraft may still be put in and take out at this point, but must be hand carried to and from the parking area. This is to ensure the safety of visitors and avoid continued erosion. ']",3,5,1
Buck Island Reef,National Monument,VI,SER,BUIS,1.0,https://www.nps.gov/BUIS/planyourvisit/conditions.htm,['Information'],['Anchoring Permit Required for All Vessels'],"['Anchoring is allowed only by permit and only in the designated location on the west side of Buck Island. Permits are free, valid for one year and available at the Danish West India & Guinea Company Building.']",1,1,0
Cabrillo,National Monument,CA,PWR,CABR,1.0,https://www.nps.gov/CABR/planyourvisit/conditions.htm,[],[],[],0,0,0
Canyon De Chelly,National Monument,AZ,IMR,CACH,1.0,https://www.nps.gov/CACH/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information']","['White House Overlook and Trail Closed', 'DELAYED OPENING for Wednesday, 2/21/24. Welcome Center will open at 1PM.', 'Safety Assessments for Canyon Tours', 'Weather Advisory and Storm Warnings', 'Route 7 from Sawmill, AZ is NOT recommended']","['White House Overlook and Trail, one of seven overlooks and the only public trail on the South Rim Drive, remains closed because of safety and law enforcement concerns.', 'Due to an all-employees Safety Meeting, the Welcome Center will open at 1:00 PM on February 21. The North and South Rim Drives and Overlooks remain open. The park apologizes for any inconvenience this may cause. \n', 'During flash floods, the canyon may be closed temporarily to tours. Safety assessments of the canyon will be conducted during severe conditions. The Navajo Nation asks all individuals to take the necessary precautions when entering the canyon.', 'The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local weather forecasts. We appreciate your understanding.', 'Entering the park from the east at Sawmill, AZ on Route 7 is not recommended. Part of this route is UNPAVED and UNMAINTAINED. Please stay on paved roads, such as Indian Route 64 from Tsaile, AZ and Highway 191/Route 7 from Chinle, AZ.']",3,5,0
Castle Clinton,National Monument,NY,NER,CACL,1.0,https://www.nps.gov/CACL/planyourvisit/conditions.htm,"['Information', '']",['New Screening Facility at The Battery'],"['The location of the Statue of Liberty and Ellis Island security screening facility and ferry service has moved to a new temporary location next to The View restaurant in The Battery, NYC.']",2,1,0
Cape Cod,National Seashore,MA,NER,CACO,1.0,https://www.nps.gov/CACO/planyourvisit/conditions.htm,[''],[],[],1,0,0
Casa Grande Ruins,National Monument,AZ,IMR,CAGR,1.0,https://www.nps.gov/CAGR/planyourvisit/conditions.htm,['Information'],['Casa Grande Ruins National Monument is Fee Free'],"['Casa Grande Ruins National Monument no longer charges a fee to enter the monument. The annual and senior passes are no longer available for purchase, however we are still able to issue the free passes.  ']",1,1,0
Cape Hatteras,National Seashore,NC,SER,CAHA,1.0,https://www.nps.gov/CAHA/planyourvisit/conditions.htm,[],[],[],0,0,0
Cape Krusenstern,National Monument,AK,AKR,CAKR,1.0,https://www.nps.gov/CAKR/planyourvisit/conditions.htm,[],[],[],0,0,0
Cape Lookout,National Seashore,NC,SER,CALO,1.0,https://www.nps.gov/CALO/planyourvisit/conditions.htm,[],[],[],0,0,0
Castle Mountains National Monument,Castle Mountains National Monument,CA,PW,CAMO,,https://www.nps.gov/CAMO/planyourvisit/conditions.htm,"['Danger', 'Caution']","['Most Monument Roads Require Heavy Duty 4WD Vehicle to Travel Safely', 'Use Caution on Roads with Debris']","['Breaking down in the remote monument can be a life-threatening emergency. Most roads require a well-equipped, heavy-duty 4WD vehicle to travel. 2WD high clearance vehicles must use Walking Box Ranch Rd for entry and exit. No Visitor Facilities Available. ', 'Flooding has resulted in debris along many roads within the park boundaries. Please use caution when driving on paved roads and watch for road crews at work. Be aware that unimproved and dirt roads may be impassible due to washouts, so plan accordingly.']",2,2,0
Canaveral,National Seashore,FL,SER,CANA,1.0,https://www.nps.gov/CANA/planyourvisit/conditions.htm,"['Park Closure', '', '']",['Areas Closed Temporarily '],"[""Playalinda parking area 6 is closed for boardwalk rehab. \nPlayalinda parking area 7 is Closed for rehab on Mon-Thu and open Fri-Sun until mid-January.\nApollo's Turtle Mound boardwalk is partially open with one overlook closed.""]",3,1,0
Canyonlands,National Park,UT,IMR,CANY,1.0,https://www.nps.gov/CANY/planyourvisit/conditions.htm,"['Park Closure', 'Caution']","['Elephant Hill Access Road and parking lot to close temporarily March 21', 'Difficult conditions complicate Cataract Canyon takeouts']","['The unpaved Elephant Hill Access Road and trailhead parking lot will close temporarily for necessary road maintenance on March 21, 2024. The road and parking lot will be closed to all uses until the work is complete, which should be later that same day.', 'Hite Ramp is closed. The North Wash take-out is a primitive, unimproved dirt take-out. You will not be able to back a trailer down the dirt slope. Recent washouts have further deteriorated conditions.']",2,2,1
Capitol Reef,National Park,UT,IMR,CARE,1.0,https://www.nps.gov/CARE/planyourvisit/conditions.htm,"['Caution', 'Information']","['Winter Conditions', 'Toxic Cyanobacteria in Halls Creek', 'Gifford House Closed for the Season', 'Special Use Permits', 'Generators Permitted in Loops A and B in Winter']","['Some roads may close temporarily due to snow. Expect some snow and ice on roads after storms. Slow down & drive carefully. Hiking trails can be icy. Traction devices that attach to your hiking shoes are highly recommended. ', 'There is a Health Watch for low levels of toxic cyanobacteria in Halls Creek. Do not submerge your head in or filter drinking water from the creek.', 'The Gifford House closed for the 2023 season on November 25. It will reopen on March 14, 2024', 'Special Use Permits are typically needed for activities that benefit a specific group. Examples include: Groups of 40 or more, trips organized by scouting groups, churches, or academic institutions, photography, weddings, and first amendment activities', 'Loop C of the Fruita Campground has closed for the winter. Generators will be permitted in the A and B loops while the C loop is closed. Generator use hours limits are still in effect. ']",2,5,0
Cane River Creole,National Historical Park,LA,SER,CARI,1.0,https://www.nps.gov/CARI/planyourvisit/conditions.htm,"['Information', '']","['Oakland Main House Self-Guided Tours', 'Magnolia Plantation is Open']","['The interior of the Oakland Main House is ONLY open to the public on weekends from 10 a.m. to 2 p.m. All tours of the house are self-guided and occupancy within the building is limited. Please plan accordingly. ', 'Date Posted: 2/9/2024']",2,2,0
Carl Sandburg Home,National Historic Site,NC,SER,CARL,1.0,https://www.nps.gov/CARL/planyourvisit/conditions.htm,"['Caution', 'Information']","['Pedestrian Bridge at Front Lake is Closed', 'Sandburg Home Visitor Center/Park Store and Tours Open Wednesday to Sunday', 'Park Shuttle Available!', 'House Closed Wed Feb 21 for Staff Training']","['The pedestrian bridge at the main entrance to the park is closed. During the closure, visitors must walk an additional 0.4 mile around Front Lake, and then 1/3 mile up a hill to the Sandburg Home and farm. For accessibility options, call 828-707-8125.', 'The Sandburg Home Visitor Center/Park Store is open Wednesday to Sunday from 10am-4pm. Tours are available at 11am, 12pm, 1pm, 2pm, 3pm. Advance\xa0reservations are strongly recommended as day-of visit, last minute tickets may not be available.', 'A 6-passenger shuttle runs daily every 20 minutes from 9:40 am to 4:20 pm, from the main parking lot, on Little River Road, to the Sandburg Home and farm area. Visitors with babies or toddlers should park at the Hikers lot and catch shuttle at HQ gate.  ', 'Barn and grounds remain open, however, in support of staff training the bookstore and tours will be closed from 1:00 to 4:00 on Wed Feb 21.  A park film will be looping in the house garage for your viewing pleasure. ']",2,4,0
Castillo De San Marcos,National Monument,FL,SER,CASA,1.0,https://www.nps.gov/CASA/planyourvisit/conditions.htm,['Information'],['Fee Stations Credit Card Only'],['Fee Stations are only accepting credit cards for the purchase of entry tickets and passes.'],1,1,0
Catoctin Mountain,Park,MD,NCR,CATO,1.0,https://www.nps.gov/CATO/planyourvisit/conditions.htm,['Park Closure'],['Maryland Route 77 Detour Information'],['Date Posted: 1/2/2024'],1,1,0
