id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,road_closed_flag,Park Name,Type of Unit,State,Reg,Alpha,Unit
4E22941A-4B98-4CBE-A0FE-E355647D013A,https://www.nps.gov/choh/planyourvisit/horsebackriding.htm,Equestrian Traffic Temporarily Prohibited Milepost 156-173,CHOH,Horses are prohibited between Paw Paw Tunnel (mile 156) and Spring Gap (mile 173) due to recent and ongoing towpath resurfacing. See more for details.,Information,[],2024-02-28 10:18:13.0,0,Chesapeake & Ohio Canal,National Historical Park,"DC,MD,WV",NCR,CHOH,1.0
E03F727A-F27F-45DE-B697-F5701D246BED,https://www.nps.gov/chch/learn/news/prescribedfire2024.htm,Prescribed Burn at Chickamauga Battlefield - Some Trails Remain Closed Until 3/3,CHCH,"Due to smoldering logs, stumps, trunks, and shallow tree roots in the limestone areas where the prescribed burn occurred, trails in these affected areas will remain closed until Sunday, March 3, 2024.",Information,[],2024-02-28 08:35:58.0,0,Chickamauga & Chattanooga,National Military Park,GA,SER,CHCH,1.0
75487057-E4F6-4A96-9E5F-71A40F272B2F,https://www.nps.gov/grca/planyourvisit/key-messages.htm,"Trail Alerts - Wednesday, February 28, 2024 - South Kaibab Trailhead water is OFF...",GRCA,"...due to freeze damage. Fill your water bottles before arriving at the trailhead. All trails into the canyon are icy. Foot traction & hiking poles are advised. Bright Angel Trail, Plateau Pt. and Tonto Trails are CLOSED for waterline construction work.",Park Closure,[],2024-02-27 22:32:16.0,0,Grand Canyon,National Park,AZ,IMR,GRCA,1.0
D343DB17-FB31-4953-AC43-957033416C4B,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,"What's Closed and What's Open? (Park Operational Updates) Wednesday, February 28, 2024",GRCA,"The Visitor Center is OPEN from 10 am to 4 pm. Ranger programs are presented daily. Visit link for available visitor services and their hours of operation. The North Rim and State Route 67 are CLOSED to all vehicle traffic for the winter, until May 15.",Park Closure,[],2024-02-27 22:31:27.0,0,Grand Canyon,National Park,AZ,IMR,GRCA,1.0
9D99D3C1-0978-4A3A-8618-8D0F7F99C07B,https://forecast.weather.gov/MapClick.php?lon=-122.13198849186297&lat=42.8943908091255,Road from Park Headquarters to Rim Village is Temporarily CLOSED,CRLA,The road is closed while plow operators work to clear snow and prepare for the next big storm arriving late Wednesday afternoon. It is not possible to access a lake view by vehicle at this time. Expect snowy and icy roads. All Oregon Chain Laws apply.,Park Closure,"[{'title': 'Road from Park HQ to Rim Village CLOSED', 'id': '9D99D3C1-0978-4A3A-8618-8D0F7F99C07B', 'type': 'roadevent', 'url': 'https://www.nps.gov/crla/planyourvisit/conditions.htm'}]",2024-02-27 20:57:52.0,1,Crater Lake,National Park,OR,PWR,CRLA,1.0
F3501DA6-1FD7-493F-9507-39041475EBD2,,Furnace Creek Airport Closed 2/26 - 3/5,DEVA,"Furnace Creek Airport will be closed from Monday February 26th, 2024 at 6:00 AM, until Tuesday March 5th, 2024 at 9:00 PM. Please plan accordingly.",Park Closure,[],2024-02-27 18:23:23.0,0,Death Valley,National Park,CA,PWR,DEVA,1.0
D36BB36F-EB5F-4523-A749-D91EDE1615D5,,Quarai Church and Convento Closure,SAPU,The Church and Convento at Quarai will be closed to the public from 03/04-03/09 to conduct a Climate Vulnerability Assessment of the Church. For more info visit-https://www.nps.gov/sapu/learn/news/quarai-climate-assessment.htm,Park Closure,[],2024-02-27 17:45:33.0,0,Salinas Pueblo Missions,National Monument,NM,IMR,SAPU,1.0
0E5C38D1-4E6A-4D95-B3E4-82C05224E3BD,,"Cave Tours Suspended Beginning May 1, 2024, Through September for Elevator Replacement",WICA,"Due to a complete replacement and modernization of our elevator system, tours of Wind Cave will be closed beginning May 1, 2024, and continuing through September.",Park Closure,[],2024-02-27 16:55:45.0,0,Wind Cave,National Park,SD,MWR,WICA,1.0
82933D75-DFBB-419C-9479-142F8C26F129,,"10:00 am Garden of Eden Tour cancelled March 12, 2024",WICA,"To allow staff to participate in the Adventures in Nature program, the 10:00 am Garden of Eden Tour on March 12, 2024 is cancelled.",Park Closure,[],2024-02-27 16:24:06.0,0,Wind Cave,National Park,SD,MWR,WICA,1.0
6D252320-E7E6-4BFD-9C76-E316D910E518,https://ussconstitutionmuseum.org/,USS Constitution Museum,BOST,"The USS Constitution Museum is CLOSED Wednesday, February 28. It will open for normal hours of operation Thursday, February, 29.",Information,[],2024-02-27 16:22:17.0,0,Boston,National Historical Park,MA,NER,BOST,1.0
82666CCF-577D-4717-9BE5-9E42431B1490,,Prescribed Fire Operations/Smoke Impacts Main Park Rd and Hells Bay Canoe Trail,EVER,"Beginning Feb 28, heavy smoke impacts are expected on the Hells Bay Canoe Trail and from the trail south along Main Park Rd as fire managers conduct prescribed fire operations. Visitors are urged to use extreme caution while driving in the area.",Caution,[],2024-02-27 14:36:03.0,0,Everglades,National Park,FL,SER,EVER,1.0
0F11EAE6-1C53-4E62-B971-DDABC450864F,,Prescribed Fire Operations/Smoke Impacts Main Park Rd Near Pinelands Trail,EVER,"Fire managers will be conducting prescribed fire operations north of Main Park Rd in the vicinity of Pinelands Trail. Smoke impacts are expected along Main Park Rd, especially in the early morning hours. Visitors are urged to use extreme caution.",Caution,[],2024-02-27 14:34:32.0,0,Everglades,National Park,FL,SER,EVER,1.0
08B1F8CC-BDFF-4D30-9892-92A34E23FFC6,,Delta-01 Tours Closed,MIMI,"Due to mechanical issues and repairs, Delta-01 tours are closed through March 16th.",Park Closure,[],2024-02-27 14:17:50.0,0,Minuteman Missile,National Historic Site,SD,MWR,MIMI,1.0
7E214520-5460-4CCC-8AD6-BFB20C8F158E,,Salt Valley Road to close temporarily March 18-20,ARCH,"Maintenance crews will apply road surface treatments to the unpaved Salt Valley Road March 18-20, 2024. The road will close to all uses during this time.",Park Closure,[],2024-02-27 13:46:17.0,1,Arches,National Park,UT,IMR,ARCH,1.0
725B9719-95BA-4A47-919C-DC1465F71AD3,https://dpw.sbcounty.gov/operations/road-closures/,"Kelabker Road and National Trails Hwy CLOSED between I-40 and Amboy, CA in San Bernardino County",MOJA,"Mojave NP Travelers going to or traveling from the south in the Twentynine Palms and Joshua Tree region are affected bridge repair projects Between Amboy, CA and Interstate 40. Detour via National Trails Highway west of Amboy to I-40 at Ludlow.",Park Closure,[],2024-02-27 13:45:49.0,0,Mojave,National Preserve,CA,PWR,MOJA,1.0
D4433C6E-D00D-40F5-A199-C38445117C92,,Elephant Hill Access Road and parking lot to close temporarily March 21,CANY,"The unpaved Elephant Hill Access Road and trailhead parking lot will close temporarily for necessary road maintenance on March 21, 2024. The road and parking lot will be closed to all uses until the work is complete, which should be later that same day.",Park Closure,[],2024-02-27 13:44:21.0,1,Canyonlands,National Park,UT,IMR,CANY,1.0
A7575192-819E-4E94-8BC5-63A64CD61A95,,Alibates Closed,ALFL,Due to the Windy Deuce Fire Alibates is closed.,Danger,[],2024-02-27 13:42:03.0,0,Alibates Flint Quarries,National Monument,TX,IMR,ALFL,1.0
3AD74F79-3DAD-4077-A4AF-42EBD2409B5E,https://www.nps.gov/arch/planyourvisit/timed-entry-pilot.htm,Timed Entry Reservation Pilot 2024,ARCH,"To enter the park from April 1 to October 31, 2024, visitors will need a Timed Entry Ticket. Tickets may be purchased from Recreation.gov up to three months prior to visiting. Extra tickets will become available at 7pm for night-before purchase.",Information,[],2024-02-27 13:28:42.0,0,Arches,National Park,UT,IMR,ARCH,1.0
E22055E3-D2FE-413A-9D6A-1DFA9301F11A,,The restrooms at Cottonwood Visitor Center are temporarily closed.,JOTR,There are portable toilets available for use in the parking lot. Visitors are also welcome to use the flush toilets at Cottonwood Campground.,Park Closure,[],2024-02-27 13:08:33.0,0,Joshua Tree,National Park,CA,PWR,JOTR,1.0
EE52692D-A47A-4211-8876-E75FA7A77AD0,,2.27.24 Newfound Gap Road closed between Gatlinburg and Cherokee due to high winds,GRSM,"Most other major park roads are open. Watch for snow and ice, especially at higher elevations, and drive slowly. Updates are available by phone (865-436-1200), at visitor centers, or on the park's Facebook or X (formerly known as Twitter).",Park Closure,[],2024-02-27 13:02:32.0,1,Great Smoky Mountains,National Park,"TN,NC",SER,GRSM,1.0
D3381CCA-439D-4B26-8048-73F347A05B99,,Closure of Blue West,LAMR,Due to ongoing road work Blue West is closed until further notice.,Park Closure,[],2024-02-27 11:05:36.0,1,Lake Meredith,National Recreation Area,TX,IMR,LAMR,1.0
9B555461-1BC4-4949-9E50-DA3829C7B61F,,Closure of Plum Creek,LAMR,"Because of an ongoing wildfire, Plum Creek is closed until further notice.",Danger,[],2024-02-27 11:03:58.0,0,Lake Meredith,National Recreation Area,TX,IMR,LAMR,1.0
0FA89546-EEE2-4E95-8214-D7EDC627BDBF,,Summit Road Closure,SCBL,"Due to snow and ice on the roadway surface, the Scotts Bluff Summit Road is closed until further notice.",Park Closure,[],2024-02-27 10:44:07.0,1,Scotts Bluff,National Monument,NE,MWR,SCBL,1.0
E46EBA92-1CBC-46F1-8942-D7D70183B016,,Paradise Road Status for 02/27/24: Closed,MORA,"The gate to Paradise at Longmire is closed on Tuesdays & Wednesdays. Check back on Wed afternoon for expected status for the following Thursday. All vehicles, including 4WD and AWD, are required to carry tire chains Nov 1 - May 1.",Park Closure,[],2024-02-26 19:59:44.0,0,Mount Rainier,National Park,WA,PWR,MORA,1.0
B0561952-8D7A-43C0-8131-0AAECF416D4A,,No Drinking Water at Lighthouse,PORE,Drinking water is not available at the lighthouse area due to storm damage. Be prepared and bring water if visiting the lighthouse. The nearest water fountain is at Ken Patrick Visitor Center.,Caution,[],2024-02-26 19:26:19.0,0,Point Reyes,National Seashore,CA,PWR,PORE,1.0
75883C21-B99F-44AB-A551-DDBAD3306156,https://www.nps.gov/blca/learn/news/road-improvement-projects-to-impact-black-canyon.htm,Road Construction at Black Canyon South Rim - 2024 and 2025,BLCA,"Major road improvement projects will impact the park from late March-November 2024. Expect delays, alternating one-way traffic, and parking lot closures from the park boundary on Hwy 347 to the visitor center. More road work is scheduled for 2025.",Park Closure,"[{'title': 'South Rim Road Construction', 'id': '75883C21-B99F-44AB-A551-DDBAD3306156', 'type': 'roadevent', 'url': 'https://www.nps.gov/blca/planyourvisit/conditions.htm'}]",2024-02-26 16:50:36.0,1,Black Canyon Of The Gunnison,National Park,CO,IMR,BLCA,1.0
601E5557-3C63-4997-A49E-6EDEA5C5991D,,Restroom Closure,FLNI,Flight 93 National Memorial permanent restroom facilities are closed due to construction. Temporary restroom facilities are available outside of the Visitor Center and at the Memorial Plaza.,Information,[],2024-02-26 15:20:07.0,0,Flight 93,National Memorial,PA,NER,FLNI,1.0
2F2CF72B-9D83-43C9-A028-94E76A02C5CB,,Short Term Construction,FLNI,"Construction will begin the week of February 26, 2024, along Flight Path at the Visitor Center. The Visitor Center remains open. We apologize for the short-term inconvenience.",Caution,[],2024-02-26 15:17:30.0,0,Flight 93,National Memorial,PA,NER,FLNI,1.0
725DC4E6-E390-4AA0-9EDE-BB414EE41E8F,https://www.nps.gov/yose/planyourvisit/wroads.htm,Tioga Road and Glacier Point Road are closed for the winter,YOSE,"Tioga Road (continuation of Highway 120 through the park) and Glacier Point Road are closed for the season due to snow. They usually open in late May or June. Call 209/372-0200 (then 1, 1) for road conditions and tire chain requirements.",Park Closure,"[{'title': 'Tioga and Glacier Point Winter Closures', 'id': '725DC4E6-E390-4AA0-9EDE-BB414EE41E8F', 'type': 'roadevent', 'url': 'https://www.nps.gov/yose/planyourvisit/conditions.htm'}]",2024-02-26 02:06:22.0,1,Yosemite,National Park,CA,PWR,YOSE,1.0
CE24000C-4C4A-4A6E-8744-8F717A94EC6E,https://www.nps.gov/olym/planyourvisit/hurricane-ridge-in-winter.htm,Hurricane Ridge Road Status 2/26 - 2/29,OLYM,"Hurricane Ridge Road remains closed Monday through Thursday during the winter season. The road is scheduled to reopen Friday, March 1st, weather permitting.",Park Closure,"[{'title': 'Hurricane Ridge Road Status', 'id': 'CE24000C-4C4A-4A6E-8744-8F717A94EC6E', 'type': 'roadevent', 'url': 'https://www.nps.gov/olym/planyourvisit/conditions.htm'}]",2024-02-25 19:10:55.0,1,Olympic,National Park,WA,PWR,OLYM,1.0
DFBD4523-DC99-43F8-A8DF-C17F470F7498,https://www.nps.gov/bicy/learn/news/big-cypress-national-preserve-issues-temporary-area-closure-for-lost-dog-b-d-prescribed-fire.htm,Big Cypress National Preserve Issues Temporary Area Closure for Lost Dog B & D Prescribed Fire,BICY,"Big Cypress National Preserve has issued a temporary closure during prescribed fire activity beginning Tuesday February 27, 2024. To learn more about what areas and activities the closure entails, click the link!",Park Closure,[],2024-02-25 17:24:09.0,0,Big Cypress,National Preserve,FL,SER,BICY,1.0
BCF8B3CC-B646-4641-9F59-6EBF35DCF3C0,,El Malpais Visitor Center closed March 8,ELMA,"The El Malpais Visitor Center will be closed on Friday, March 8, 2024, for interpretation staff training. The park's roads and hiking trails are open to visit while the visitor center is closed. Thank you for your understanding.",Park Closure,[],2024-02-25 15:57:40.0,1,El Malpais,National Monument,NM,IMR,ELMA,1.0
76134015-F143-4E0C-A206-E97E96A83F59,https://www.nps.gov/chic/learn/news/cnra-prepares-for-two-spring-prescribed-fires.htm,Prescribed fire at The Point,CHIC,"A prescribed fire was conducted at The Point on Fri Feb. 23. Although all areas have reopened, residual smoke may still be visible from the roadways due to smoldering vegetation. Please use caution when driving or walking near the areas of impact.",Caution,[],2024-02-25 15:54:17.0,1,Chickasaw,National Recreation Area,OK,IMR,CHIC,1.0
D21FE8FB-3FA2-49B1-B214-D4E239A69A25,,Delayed Opening,SPAR,"Please be advised that the museum visitor center will open on Thursday, February 29 at 12:30pm.",Information,[],2024-02-25 14:47:10.0,0,Springfield Armory,National Historic Site,MA,NER,SPAR,1.0
8219140B-FCA0-430D-992E-9CD314A026CD,,"Maintenance on Scott's Run and Wilderness Run Bridges Starting March 1, 2024",FRSP,"Between March and June, ongoing maintenance work on the Scott's Run bridges on the Chancellorsville Battlefield (Stuart Drive) and the Wilderness Run bridge (on Hill-Ewell Drive) on the Wilderness Battlefield may cause some detours and delay.",Information,[],2024-02-25 14:23:34.0,0,Fredericksburg & Spotsylvania,National Military Park,VA,NER,FRSP,1.0
19E8B555-79EB-4E57-B98C-19C86222E5BC,https://www.nps.gov/chir/planyourvisit/vehicle-length-information.htm,Vehicle Length Limits,CHIR,"Vehicles longer than 24 feet are not permitted past the visitor center on Bonita Canyon Drive. Vehicles up to 29 feet are still allowed to stay in the campground, but can't go further. Parking for large vehicles and trailers is available at Faraway Ranch.",Information,[],2024-02-24 18:19:35.0,0,Chiricahua,National Monument,AZ,IMR,CHIR,1.0
93038420-B680-4E77-83D7-417C9C93EB8D,,Phone line is currently down.,HAGR,"Our visitor center line is currently down. For park information, please email hagr_info@nps.gov. Thank you.",Information,[],2024-02-24 11:44:54.0,0,Hamilton Grange,National Memorial,NY,NER,HAGR,1.0
A906ACF9-BCEB-4A69-93B6-B0FABD04B89B,,Huffman Prairie Flying Field Interpretive Center Closed 11/15 - 4/8,DAAV,"The Huffman Prairie Flying Field Interpretive Center is closed for the winter. While the interior park facilities will be closed, the grounds of the Wright Memorial and the Huffman Prairie Flying Field will remain open dawn to dusk.",Information,[],2024-02-24 09:16:07.0,0,Dayton Aviation Heritage,National Historical Park,OH,MWR,DAAV,1.0
CD81B0F2-4A46-4C03-B9E0-FB3810029091,,Fort Davis Suspends Cash Entrance Fees,FODA,"Due to unforeseen circumstances Fort Davis NHS will only be accepting Credit Card Transactions for entrance fees until a new fee register can be installed. Please keep following us for future updates. We hope to accept cash fees by March 10,2024.",Information,[],2024-02-23 14:49:32.0,0,Fort Davis,National Historic Site,TX,IMR,FODA,1.0
AC6EF9FB-7DD4-4B88-823F-29DBBA750A5A,https://www.nps.gov/neri/learn/news/new-river-gorge-npp-s-canyon-rim-vc-undergoes-renovation.htm,Canyon Rim Visitor Center Closing for Remodel,NERI,"Canyon Rim Visitor Center is expected to be closed from January 1 through March 1, 2024 in order to install new exhibits. The visitor center will reopen on Saturday March 2 with all new exhibits.",Park Closure,[],2024-02-23 14:26:09.0,0,New River Gorge,National River,WV,NER,NERI,1.0
6616335B-581D-4BC6-8EFA-782EF96CBEF2,,Upcoming Florida Trail Closure,BICY,"Florida Trail closures are expected in the latter half of February, north of US41 and south of I75. Exact dates are still to be determined. Please check website daily for updates.",Information,[],2024-02-23 14:24:13.0,0,Big Cypress,National Preserve,FL,SER,BICY,1.0
396BDABD-C662-479A-9E22-B16F9B603327,,Road Construction,MOJA,Maintenance has begun repairing roads. On 02/24/2024 work will begin at Hole in the Wall Visitor Center and Campground at Black Canyon Rd. until 02/29/2024. Please exercise caution and slow down.,Caution,[],2024-02-23 13:56:48.0,1,Mojave,National Preserve,CA,PWR,MOJA,1.0
32AE8EA7-84B3-4EA6-8E6F-785809D58554,,Faneuil Hall Visitor Center,BOST,"As part of an agency-wide SAFETY initiative, the Faneuil Hall Visitor Center will be staffed starting at 1pm on Wednesday, February 28. The first floor (market floor) of Faneuil Hall will remain open and accessible to visitors.",Information,[],2024-02-23 13:16:00.0,0,Boston,National Historical Park,MA,NER,BOST,1.0
371DD254-A7FA-47D6-8880-3D7FE60A8C95,,Bunker Hill Museum,BOST,"As part of an agency-wide SAFETY Initiative, the Bunker Hill Museum will open at 1pm on Wednesday, February 28. The Bunker Hill Grounds will remain open and accessible to visitors.",Information,[],2024-02-23 13:09:50.0,0,Boston,National Historical Park,MA,NER,BOST,1.0
4AA8B2E1-5179-486D-BDAA-A33402CF505E,,Charlestown Navy Yard Visitor Center,BOST,"As part of an agency-wide SAFETY Initiative, the Charlestown Navy Yard Visitor Center will open at 1pm on Wednesday, February 28. The Charlestown Navy Yard grounds will remain open and accessible to visitors.",Information,[],2024-02-23 13:08:20.0,0,Boston,National Historical Park,MA,NER,BOST,1.0
8D79F680-5763-4845-BB49-25FC76C5240C,,"Restrooms and drinking water systems closed 2/20 - 2/28, 2024",GRFA,Portable toilets available behind the Visitor Center building and in Lower Parking Lot. No drinking water available. This is due to our fresh water well tank and line upgrades. Restrooms will remain closed until this work is completed.,Park Closure,[],2024-02-23 13:05:51.0,0,,,,,,
83A17F44-C295-4B5D-82F4-C770BDB1CD1A,https://www.nps.gov/buff/planyourvisit/south-woolum-road-closed-alternate-route-available.htm,"South Woolum Road Closed, Alternate Route Available",BUFF,"In the interest of safety, the South Woolum Road has been closed. The Woolum launch and campground remain open.",Park Closure,"[{'title': 'South Woolum Road Closure', 'id': '83A17F44-C295-4B5D-82F4-C770BDB1CD1A', 'type': 'roadevent', 'url': 'https://www.nps.gov/buff/planyourvisit/conditions.htm'}]",2024-02-23 12:47:47.0,0,Buffalo,National River,AR,MWR,BUFF,1.0
CDCB7FAF-2E02-4340-BC24-C445218528C6,,"National Parks of Boston Delayed Opening - Wednesday, February 28",BOST,"As part of an agency-wide SAFETY initiative, Bunker Hill Museum, Charlestown Navy Yard Visitor Center, and Faneuil Hall Visitor Center will open at 1pm on Wednesday, February 28.",Information,[],2024-02-23 12:45:50.0,0,Boston,National Historical Park,MA,NER,BOST,1.0
34BFDFAB-DC1F-4FF1-8B57-F9C939FEDFDB,,Old North Church - Winter 2024 Hours,BOST,ONC is open for “pop-up” hours on select weekdays in February. Hours are dependent on weather and staffing. Please check www.oldnorth.com for more information.,Information,[],2024-02-23 12:41:12.0,0,Boston,National Historical Park,MA,NER,BOST,1.0
6EDA7B2A-9E80-467D-9D1F-49CD5ECE4EA6,,2/29/2024: Open 1pm-4pm (Reduced Hours of Operation),STEA,"As part of a NPS commitment to creating a Respectful, Inclusive, Safe, and Engaged workforce, Steamtown NHS will be participating in stand down - a pause in operations on Thursday, February 29, until 1pm. We will open in the afternoon from 1pm - 4pm.",Information,[],2024-02-23 12:36:49.0,0,Steamtown,National Historic Site,PA,NER,STEA,1.0
350DA2A9-58A4-4B98-AC96-E93E74DAD4D9,,Headland Trail Partially Closed,ELMO,The Headland Trail is open via the stairs to North Atsinna Pueblo. The switchbacks remained closed. The Inscription Loop is open to marker 16. Watch for snow and ice on the trail.,Information,[],2024-02-23 11:57:47.0,0,El Morro,National Monument,NM,IMR,ELMO,1.0
92A9AA94-5063-46D3-84CC-3D773FEE0DA8,,Morristown road closures beginning 29 February,MORR,On 2/29 Eastbound Morris St. will be closed down to one lane starting at Ridgedale Ave for about 140 days. Westbound Morris St will closed to all traffic starting at the intersection of Ford Ave and Taft Lane. Please plan alternate routes.,Information,[],2024-02-23 11:34:29.0,0,Morristown,National Historical Park,NJ,NER,MORR,1.0
067EF565-9367-4A0F-9105-4BC6935F489E,https://www.nps.gov/inde/planyourvisit/independencehalltickets.htm,Starting March 1: Tickets Required for Independence Hall,INDE,"Beginning Friday, March 1st, timed tickets will be required for entrance to Independence Hall.",Information,[],2024-02-23 11:10:31.0,0,Independence,National Historical Park,PA,NER,INDE,1.0
76930B85-0EB3-456E-B44B-F13C319E7033,,Application for Special Use Permit,LAMR,"Beginning March 1, 2024, each applicant will be required to complete a new ""Application For Special Use Permit"" prior to any new permit being issued",Information,[],2024-02-23 10:09:07.0,0,Lake Meredith,National Recreation Area,TX,IMR,LAMR,1.0
22A5CA97-83AE-4FC1-BACB-57A4508023CA,,Temporary Closure for Prescribed Fire Operations,EVER,"Beginning February 26, Pinelands Trail including access road and parking area will be closed due to prescribed fire activity. Area will reopen when deemed safe by fire managers",Park Closure,[],2024-02-23 09:56:15.0,1,Everglades,National Park,FL,SER,EVER,1.0
8430DDE4-AB65-4EFF-B833-6AF9E17822EA,,Split Mountain Campground and Desert Voices Trail Temporarily Closed Due to Mountain Lion Activity,DINO,"Due to a mountain lion sighting with a fresh deer kill on February 22, the following areas are temporarily closed to visitors: Split Mountain Road and Campground, Desert Voices Trail, Connector Trail between Desert Voices and Sounds of Silence.",Park Closure,[],2024-02-22 19:59:48.0,0,Dinosaur,National Monument,"CO,UT",IMR,DINO,1.0
9A61F2EE-2277-4559-86D6-F8C89A5CAFC9,https://www.nps.gov/grba/learn/news/pr-lehman-flats-pile-burns.htm,Lower Lehman Campground Closed Beginning 2/22/24,GRBA,"Lower Lehman Campground will be closed effective Thursday, February 22, 2024 due to smoke and hazardous conditions surrounding the Lehman Flats Pile Burn project. Conditions will be evaluated Sunday, February 25th for reopening.",Park Closure,[],2024-02-22 19:55:24.0,0,Great Basin,National Park,NV,PWR,GRBA,1.0
A4C5D8EF-C2FA-4168-9FB9-6FAF7E31E574,https://www.nps.gov/chis/planyourvisit/backcountry-beach-camping-on-santa-rosa-island.htm,Temporary Closure on Santa Rosa Island,CHIS,"The beaches and dunes of China Camp and Cluster Point, and area in-between, are temporarily closed to all visitor access for the protection of sensitive resources. Travel is allowed on marked paths.",Park Closure,[],2024-02-22 16:46:51.0,0,Channel Islands,National Park,CA,PWR,CHIS,1.0
E75C87C0-F97F-409F-BC3F-D88715204A0E,,Safety Standown for Employees,KAHO,"We are having a service-wide pause in operations to focus on employee, workplace and visitor safety. Our visitor center and bookstore will be closed on Monday, Feb. 26 from 12:30 p.m. to 2:30 p.m. The park is open. Visitor Center closure only.",Park Closure,[],2024-02-22 16:15:27.0,0,Kaloko-Honokohau,National Historical Park,HI,PWR,KAHO,1.0
