id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,Park Name,Park Full Name,Type of Unit,State,Reg,Alpha,Unit,Road Closed Flag,date
A5AA0CBD-CF49-4933-A28D-22516A3891A5,https://www.nps.gov/cuis/learn/news/prescribed-burns.htm.,Prescribed Burns in Stafford Beach area on 4/19 and Plum Orchard area on 4/20,CUIS,"Stafford Beach Campground will be closed on 4/19 for prescribed burns. Plum Orchard will remain open for their burn on 4/20. For the full press release, click the following link https://www.nps.gov/cuis/learn/news/prescribed-burns.htm.",Caution,[],2024-04-19 10:28:26.0,Cumberland Island,Cumberland Island National Seashore,National Seashore,GA,SER,CUIS,1.0,No,2024-04-19
240C1318-FE5D-4503-9F33-AE92DBD43596,https://www.facebook.com/photo/?fbid=824790113022666&set=a.302652858569730,Traffic Disruptions,FOST,"Please note: On Saturday, April 20, 2024, Rome, NY is expected to experience traffic disruptions. During this time, those with handicapped plates may park in front of the visitor center. All others should use the lot at 112 E Park St. Be prepared to walk.",Information,[],2024-04-19 10:21:42.0,Fort Stanwix,Fort Stanwix National Monument,National Monument,NY,NER,FOST,1.0,No,2024-04-19
D343DB17-FB31-4953-AC43-957033416C4B,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,"What's Closed and What's Open? (Park Operational Updates) Friday, April 19, 2024",GRCA,Visitor Center is OPEN today. It will be closed between April 21 and May 4 for staff training. Visit the link for available visitor services/hours of operation. The North Rim of the park and SR 67 remain CLOSED to all vehicle traffic until May 15.,Park Closure,[],2024-04-19 09:03:58.0,Grand Canyon,Grand Canyon National Park,National Park,AZ,IMR,GRCA,1.0,Yes,2024-04-19
75487057-E4F6-4A96-9E5F-71A40F272B2F,https://www.nps.gov/grca/planyourvisit/key-messages.htm,"Friday, April 19, 2024 - Mostly Sunny, Today with a South Rim High of 72°F (22°C)",GRCA,"Bright Angel Trail has reopened for public use. Water is on at Havasupai Gardens; however, water remains off at 1.5 and 3-Mile Resthouses. No potable water beyond Phantom Ranch on North Kaibab Trail due to a waterline break on 4/17. Visit link for details",Park Closure,[],2024-04-19 09:02:48.0,Grand Canyon,Grand Canyon National Park,National Park,AZ,IMR,GRCA,1.0,No,2024-04-19
FE882F1E-6709-4757-80F9-79EBF842D144,https://www.cotrip.org/home,"US HWY 50 CLOSURE ALERT - as of April 18, 2024",BLCA,"Colorado Department of Transportation has closed US Highway 50 near Dillon Pinnacles, between Black Canyon NP and Curecanti NRA (mile marker 136 to 138), for emergency maintenance on the bridge. Check https://www.cotrip.org/home for updates.",Park Closure,[],2024-04-18 19:38:39.0,Black Canyon Of The Gunnison,Black Canyon of the Gunnison National Park,National Park,CO,IMR,BLCA,1.0,Yes,2024-04-19
3CE2C6E6-AA94-4CC1-A155-B9E343D0F71B,https://maps.cotrip.org/,US 50 Emergency Closure,CURE,"Colorado Department of Transportation has closed US 50 between County Road 26 and Elk Creek Road (18 to 20 miles west of Gunnison) from Mile Point 136 to Mile Point 138. Road closed expect delays due to road maintenance operations, no reopening date yet.",Park Closure,[],2024-04-18 18:18:35.0,Curecanti,Curecanti National Recreation Area,National Recreation Area,CO,IMR,CURE,1.0,Yes,2024-04-19
6E13AD2C-7682-4D47-B576-CAA6A5C2E22A,,Delassus-Kern House and Grounds Closed,STGE,"Due to hazardous conditions, the Delassus-Kern House and surrounding grounds are closed indefinitely.",Park Closure,[],2024-04-18 15:50:20.0,,,,,,,,No,2024-04-19
4ED3C2D4-940E-4491-8AEE-54599EF11D84,,Bauvais-Amoureux House and Grounds Closed,STGE,The Bauvais-Amoureux House and grounds are currently closed for a roofing project.,Park Closure,[],2024-04-18 15:46:56.0,,,,,,,,No,2024-04-19
DDE47C2D-80F3-4D6E-80AB-6C5003243E71,,Seasonal Road Closures,GRBA,The Wheeler Peak Scenic Drive is closed for the season at mile three at the Upper Lehman Campground. Both the Snake Creek and Strawberry Creek Roads are closed for the season.,Park Closure,[],2024-04-18 15:17:09.0,Great Basin,Great Basin National Park,National Park,NV,PWR,GRBA,1.0,Yes,2024-04-19
3DD98D41-64CB-4A1F-A7C4-3D5E8612C599,,Historic Homes Closed for Winter Season,ADAM,The historic homes are closed for the winter season and unavailable for tours. The 2024 season begins May 1 and ends October 31. The Visitor Center is open 10am-4pm Monday-Friday.,Park Closure,[],2024-04-18 14:45:28.0,Adams,Adams National Historical Park,National Historical Park,MA,NER,ADAM,1.0,No,2024-04-19
20FC5770-5BE7-4CE7-8A6A-B8AA0BDFF886,https://www.nps.gov/mora/planyourvisit/road-status.htm,"Paradise Road Status: Road open 24 hours, weather dependent.",MORA,Regular nightly closure of the gate to Paradise at Longmire has ended for the season. The road can still close at any time due to weather/road conditions. All vehicles are still required to carry tire chains until May 1.,Park Closure,[],2024-04-18 14:34:07.0,Mount Rainier,Mount Rainier National Park,National Park,WA,PWR,MORA,1.0,Yes,2024-04-19
48370EB7-D1D6-4F2A-9B44-B824D1BCAA90,,Restrooms at Henry Hill Are Closed,MANA,"Until further notice, the restrooms at the Henry Hill Visitor Center are closed. Visitors may use the restrooms at Brownsville (2 miles from Henry Hill) or at park headquarters located at Stuarts Hill (3 miles from Henry Hill).",Park Closure,[],2024-04-18 14:26:53.0,Manassas,Manassas National Battlefield Park,National Battlefield Park,VA,NCR,MANA,1.0,No,2024-04-19
E6760692-6606-4369-9BCB-342EAD4581BF,https://www.nps.gov/shen/visitor-impacts.htm,Facilities Openings Delayed,SHEN,"Due to extensive wind damage, power has not been restored to Elkwallow Wayside and Mathews Arm Campground. Openings are delayed.",Park Closure,[],2024-04-18 14:14:25.0,Shenandoah,Shenandoah National Park,National Park,VA,NER,SHEN,1.0,No,2024-04-19
37881975-1406-4219-836E-DFE1A1BDF25E,https://www.nps.gov/shen/visitor-impacts.htm,Intermittent power outages at Big Meadows,SHEN,"Starting April 9, there will be intermittent power outages Mondays through Thursdays in the Big Meadows area for the next three weeks due to repairs. Outages will affect campground showers. The visitor center and wayside have generators.",Information,[],2024-04-18 14:13:08.0,Shenandoah,Shenandoah National Park,National Park,VA,NER,SHEN,1.0,No,2024-04-19
EF29C1A2-1895-48FB-92AF-BED496960503,,Tree blocking trail/bridge along 24-Gun Battery Trail.,KEMO,"A large tree has fallen and destroyed a bridge along the 24-Gun Battery Trail, west of Old Mountain Road. Crossing at this section would be dangerous and should be avoided.",Park Closure,[],2024-04-18 13:27:23.0,Kennesaw Mountain,Kennesaw Mountain National Battlefield Park,National Battlefield Park,GA,SER,KEMO,1.0,Yes,2024-04-19
B1C99247-4AE0-482A-8D29-F02F55063EDC,https://www.nps.gov/vafo/planyourvisit/conditions.htm#revrun,"Sunday, April 21 - Park Entrance and Tour Roads Temporarily Closed for Rev Run",VAFO,"The park entrance and tour roads will be closed the morning of Sunday, April 21 from 4:30 AM to 11 AM during the Rev Run event. Rt 23 and Rt 252 will remain open through the park. Washington's Headquarters to open at 9 AM this day.",Park Closure,[],2024-04-18 12:48:32.0,Valley Forge,Valley Forge National Historical Park,National Historical Park,PA,NER,VAFO,1.0,Yes,2024-04-19
7D0EE120-76AD-4318-9403-F25D60642BE2,,Short-Term Parking Lot Closures,BRCA,"Spring cleaning parking lot closures will occur for 2 hours from 6 a.m. to 8 a.m. Monday, April 22: Visitor Center Tuesday, April 23: Sunrise Point Wednesday, April 24: Sunset Point Thursday, April 25: Bryce Point Monday, April 29: Inspiration Point",Information,[],2024-04-18 12:22:56.0,Bryce Canyon,Bryce Canyon National Park,National Park,UT,IMR,BRCA,1.0,No,2024-04-19
ADF1BF3E-BA07-4748-BAD9-A6E21B069824,,Road Construction Closures,LAMR,Fritch Fortress is closed to the visiting public due to road construction. There is no public access.,Park Closure,[],2024-04-18 12:07:52.0,Lake Meredith,Lake Meredith National Recreation Area,National Recreation Area,TX,IMR,LAMR,1.0,Yes,2024-04-19
577A255B-6766-4856-937A-89F7F0BFF4F8,,Slide on Southside Trail,NERI,A rockslide has occurred on the Southside Trail near the Arbuckle Connector Trail junction. The trail is closed at that junction. The remainder of the trail is still open.,Information,[],2024-04-18 11:54:12.0,New River Gorge,New River Gorge National Park and Preserve,National River,WV,NER,NERI,1.0,No,2024-04-19
69DC16B1-E012-401C-992F-8F0A25E333F7,https://www.nps.gov/vafo/planyourvisit/conditions.htm#revrun,Administration Parking Lot Closed Fri 4/19 to Sun 4/21 at Noon for Rev Run Setup,VAFO,"The upper parking lot near the administration building will be temporarily closed starting the morning of Friday, Apr 19 for setup activities related to the Rev Run event. The parking lot will reopen after the race on Sunday, Apr 21 at approx noon.",Park Closure,[],2024-04-18 10:26:08.0,Valley Forge,Valley Forge National Historical Park,National Historical Park,PA,NER,VAFO,1.0,No,2024-04-19
1B954229-1104-4995-83B0-3D25AE19B7FA,,Prescribed Burn,LAMR,"Beginning April 17, 2024, there will be a prescribed burn around Sanford Yake and Cedar Canyon.",Caution,[],2024-04-17 12:50:07.0,Lake Meredith,Lake Meredith National Recreation Area,National Recreation Area,TX,IMR,LAMR,1.0,No,2024-04-19
2BBFFEC0-33CE-4770-A636-74894326262A,,Road Damage,AMCH,"Due to damage from heavy rains, some roads may require high clearance or 4x4 vehicles for passage. Please use caution when approaching and driving on roadways. Trailers over 30 ft not advised.",Caution,[],2024-04-17 10:19:03.0,Amache,Amache National Historic Site,National Historic Site,CO,IMR,AMCH,1.0,Yes,2024-04-19
1BDA3E74-F914-4CFC-B0E6-E9C6AAAF34CA,https://www.nps.gov/dino/planyourvisit/conditions.htm,Harpers Corner Road is Closed for Winter,DINO,"The Harpers Corner Road in Colorado is closed at Moffat County Road 16, approximately thirteen miles from US HWY 40. Access to the Dinosaur Quarry in the Utah portion of the monument is open all winter.",Information,"[{'title': 'Harpers Corner Road Winter Closure', 'id': '1BDA3E74-F914-4CFC-B0E6-E9C6AAAF34CA', 'type': 'roadevent', 'url': 'https://www.nps.gov/dino/planyourvisit/conditions.htm'}]",2024-04-17 10:17:56.0,Dinosaur,Dinosaur National Monument,National Monument,"CO,UT",IMR,DINO,1.0,Yes,2024-04-19
9DC80DA5-A4E9-46B6-958A-55054EBDB9E2,,Staircase to Little Hunter's Beach closed until further notice,ACAD,"Due to damage and unsafe conditions caused by recent storms, a staircase and access route from the Park Loop Road to Little Hunter's Beach is closed until further notice. Park staff are working to address issues there over coming weeks.",Park Closure,[],2024-04-16 16:48:11.0,Acadia,Acadia National Park,National Park,ME,NER,ACAD,1.0,Yes,2024-04-19
5BBD7E87-7B07-4DE7-ADD3-B88205113892,https://www.nps.gov/carl/planyourvisit/parking.htm,Park Shuttle Available!,CARL,"The pedestrian bridge at the main entrance to the park is closed. Visitors must now walk a .7 mile steep detour to the Sandburg Home and farm. An accessible daily shuttle runs every 20 minutes, from 9:40 am to 4:20 pm, from the main parking lot.",Information,[],2024-04-16 16:20:35.0,Carl Sandburg Home,Carl Sandburg Home National Historic Site,National Historic Site,NC,SER,CARL,1.0,No,2024-04-19
5ECF9D1C-32BD-4F1A-A83E-8323431101ED,https://www.nps.gov/carl/planyourvisit/frontlakedam.htm,Pedestrian Bridge at Front Lake is Closed,CARL,"The pedestrian bridge at the main entrance to the park is closed. A 6-passenger accessible shuttle runs daily every 20 minutes from 9:40 am to 4:20 pm, from the main parking lot, on Little River Road, to the Sandburg Home and farm area.",Caution,[],2024-04-16 15:18:29.0,Carl Sandburg Home,Carl Sandburg Home National Historic Site,National Historic Site,NC,SER,CARL,1.0,Yes,2024-04-19
E8609926-4A7F-4097-9878-040E051D8D5F,,Flooding,BITH,"All trails are open; however, hikers may encounter downed trees, washouts, and damaged boardwalks as a result of flooding on April 10. Areas along major waterways may still be flooded. Paddling is not advised. Contact the visitor center for updates.",Caution,[],2024-04-16 13:48:02.0,Big Thicket,Big Thicket National Preserve,National Preserve,TX,IMR,BITH,1.0,No,2024-04-19
D942F384-9480-426F-92CF-A71EC8C85F41,,Bookstore Closed For Inventory,CACO,"The Salt Pond Visitor Center bookstore in Eastham will be closed on Tuesday, April 23 for inventory.",Information,[],2024-04-16 13:23:43.0,Cape Cod,Cape Cod National Seashore,National Seashore,MA,NER,CACO,1.0,No,2024-04-19
BCF8B3CC-B646-4641-9F59-6EBF35DCF3C0,https://www.nps.gov/elma/planyourvisit/index.htm,El Malpais Visitor Center closed May 13-15,ELMA,"The El Malpais Visitor Center will be closed on Monday, May 13, through Wednesday, May 15, 2024, for seasonal staff training. The park's roads and hiking trails are all open to visit while the visitor center is closed. Thank you for your understanding.",Park Closure,[],2024-04-16 12:01:21.0,El Malpais,El Malpais National Monument,National Monument,NM,IMR,ELMA,1.0,Yes,2024-04-19
46113AE8-A78D-40A0-A56B-F59D1AAC2E2D,https://www.nps.gov/chsc/learn/news/2022-visitor-center-days-hours-of-operation.htm?fbclid=IwAR0zglj0Pax2y-esl_SPFO3Vq2iiQ97GuTGs_Tdvu0gbGFdr1CpdrbzBe7Y,Little Rock Central High School National Historic Site visitor center closures - April 2024,CHSC,The Central High School NHS Visitor Center is open Tues. to Sat. (10 a.m. CST/CDT to 4 p.m. CST/CDT). Guests may visit the NHS daily; use the NPS App for digital content on days when the visitor center is closed. Alerts will be posted with info as needed,Information,[],2024-04-16 12:00:24.0,Little Rock Central High School,Little Rock Central High School National Historic Site,National Historic Site,AR,MWR,CHSC,1.0,No,2024-04-19
82666CCF-577D-4717-9BE5-9E42431B1490,,Prescribed Fire Operations,EVER,"Fire management will be conducting prescribed fire operations beginning Thursday April 18, in the northeast corner of the park, just south of Chekika. No closures are anticipated, however smoke may be visible from Krome Ave and US41.",Information,[],2024-04-16 11:53:31.0,Everglades,Everglades National Park,National Park,FL,SER,EVER,1.0,No,2024-04-19
F79AD94A-62D6-4D9E-BBE1-40AEF7C9E0D1,,Newfound Gap Road Construction near Gatlinburg Entrance,GRSM,Single-lane closures starting week of April 15,Caution,"[{'title': 'Newfound Gap Road near Gatlinburg', 'id': 'F79AD94A-62D6-4D9E-BBE1-40AEF7C9E0D1', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2024-04-15 15:59:41.0,Great Smoky Mountains,Great Smoky Mountains National Park,National Park,"TN,NC",SER,GRSM,1.0,No,2024-04-19
9870C928-992E-4604-BF0E-CEAB9F911894,,Lakeview Drive Construction,GRSM,Temporary single-lane closures until early July for paving; Noland Creek Bridge closed April 15 to April 18 for bridge repair,Caution,"[{'title': 'Lakeview Drive', 'id': '9870C928-992E-4604-BF0E-CEAB9F911894', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2024-04-15 15:54:36.0,Great Smoky Mountains,Great Smoky Mountains National Park,National Park,"TN,NC",SER,GRSM,1.0,No,2024-04-19
E4DF8B16-FA16-49B4-8C75-38233043C3BD,https://www.nps.gov/laro/learn/news/spring-2024-prescribed-fire-burning-notice.htm,Spring 2024 Prescribed Fire Notice at Lake Roosevelt,LARO,Lake Roosevelt National Recreation Area may implement the following prescribed burn during the spring of 2024.,Caution,[],2024-04-15 15:00:05.0,Lake Roosevelt,Lake Roosevelt National Recreation Area,National Recreation Area,WA,PWR,LARO,1.0,No,2024-04-19
029ACB4F-2EE7-4466-9E6A-A63EA391C014,,Seasonal Road Closure - Kolob Terrace Road past Black Canyon,ZION,Kolob Terrace Road closed to non-tracked vehicles past Black Canyon (15 miles north of SR-9) due to snow and ice.,Park Closure,"[{'title': 'Kolob Terrace Road Closure - Black Canyon', 'id': '029ACB4F-2EE7-4466-9E6A-A63EA391C014', 'type': 'roadevent', 'url': 'https://www.nps.gov/zion/planyourvisit/conditions.htm'}]",2024-04-15 14:53:28.0,Zion,Zion National Park,National Park,UT,IMR,ZION,1.0,Yes,2024-04-19
79D4D6BC-9074-4212-9B33-61E4263AFEDF,https://www.nps.gov/elma/planyourvisit/driving-to-big-tubes.htm,NPS 300 Road Conditions,ELMA,"NPS 300 to Big Tubes is muddy in spots with some two-foot-deep ruts. A four-wheel-drive, high clearance vehicle is required.",Caution,[],2024-04-15 14:10:55.0,El Malpais,El Malpais National Monument,National Monument,NM,IMR,ELMA,1.0,Yes,2024-04-19
93E4EF0D-EF5B-4DBB-B37D-19DB362AFFD1,,"Click on ""caution"" alerts below for important details on accessing the park",EVER,Roads to the park have delays from construction and Shark Valley parking lot is regularly filling to capacity from 10 a.m. to 3 p.m. with wait times of up to 2 hours.,Park Closure,[],2024-04-15 14:00:38.0,Everglades,Everglades National Park,National Park,FL,SER,EVER,1.0,Yes,2024-04-19
A4631DFA-0AC5-40BA-BD5B-238CAD929B78,,Guy Bradley Visitor Center elevator awaiting repair; 2nd floor access via stairs and steep ramp only,EVER,"The Guy Bradley Visitor Center elevator is broken and awaiting repairs. Access is via stairs and steep outdoor ramp. Park rangers, store, and most exhibits are upstairs. If you can't access 2nd floor and have a question, call (239) 695-2945.",Caution,[],2024-04-15 13:58:20.0,Everglades,Everglades National Park,National Park,FL,SER,EVER,1.0,No,2024-04-19
A1C50C4C-BCD1-4917-AE9A-CC0B38E2A8E7,https://www.nps.gov/elma/learn/news/national-park-service-planning-prescribed-fire-at-el-malpais-national-monument.htm,Prescribed Fire on Hwy 53 and Zuni-Acoma Trail in April,ELMA,"A prescribed fire is planned for late April, exact dates TBD. The prescribed area is adjacent to Hwy 53 between mile markers 71 and 69. During the burn, the west side of the Zuni-Acoma Trail will be closed. More information will be shared when available.",Information,[],2024-04-15 13:55:21.0,El Malpais,El Malpais National Monument,National Monument,NM,IMR,ELMA,1.0,No,2024-04-19
1D50B0A8-A04C-47AF-B8DD-927ADDD2E221,https://www.nps.gov/dewa/learn/news/newsreleases.htm,Old Mine Road South Closed for Rehabilitation Project,DEWA,Old Mine Road between Millbrook Village and Worthington State Forest will be closed for the 2024 summer season for a pavement rehabilitation project. Please see news releases for more information.,Park Closure,[],2024-04-15 12:45:42.0,Delaware Water Gap,Delaware Water Gap National Recreation Area,National Recreation Area,PA,NER,DEWA,1.0,Yes,2024-04-19
0E5C38D1-4E6A-4D95-B3E4-82C05224E3BD,https://www.nps.gov/wica/learn/news/wind-cave-rangers-focus-on-surface-programs-during-elevator-modernization-this-summer.htm,"Cave Tours Suspended Beginning May 6, 2024, Through Fall for Elevator Replacement",WICA,"Due to a complete replacement and modernization of our elevator system, tours of Wind Cave will be closed beginning May 6, 2024, and continue into the fall.",Park Closure,[],2024-04-15 11:27:10.0,Wind Cave,Wind Cave National Park,National Park,SD,MWR,WICA,1.0,No,2024-04-19
26A30609-FE22-4318-9372-69BF04474C8F,https://www.nps.gov/fiis/learn/news/fire-island-national-seashore-begins-repairs-to-damaged-infrastructure.htm,Sections of Sunken Forest Boardwalk Inaccessible During Repair Work,FIIS,"During the month of April, a section of boardwalk near Sailors Haven marina will be inaccessible due to repair work. Visitors walking the trail should use the west end trail entrances and walk an out-and-back route, as loop walks will not be possible.",Information,[],2024-04-15 09:48:34.0,Fire Island,Fire Island National Seashore,National Seashore,NY,NER,FIIS,1.0,Yes,2024-04-19
CE24000C-4C4A-4A6E-8744-8F717A94EC6E,,Hurricane Ridge Road Status 4/12/24,OLYM,"Hurricane Ridge Road is open. Road will remain open unless road conditions prohibit safe travel, conditions are assessed daily.",Park Closure,[],2024-04-14 18:21:04.0,Olympic,Olympic National Park,National Park,WA,PWR,OLYM,1.0,Yes,2024-04-19
782F2748-A440-4B9E-8C5C-55BC780E8166,,Incoming Calls Issue,BIHO,"Incoming callers are experiencing difficulty connecting with the battlefield. If you are trying to contact our team, allow the phone to ring at least 12 times before selecting from the phone tree, or email us at biho_visitor_information@nps.gov.",Information,[],2024-04-14 12:34:57.0,Big Hole,Big Hole National Battlefield,National Battlefield,MT,PWR,BIHO,1.0,No,2024-04-19
EA720E00-3278-468F-9CE4-9157003DB861,https://www.nps.gov/bith/planyourvisit/conditions.htm,Damaged Bridge on Village Creek,BITH,The bridge over Village Creek at the junction of the Kirby Nature Trail and Turkey Creek Trail is CLOSED due to flood damage.,Danger,[],2024-04-14 10:56:28.0,Big Thicket,Big Thicket National Preserve,National Preserve,TX,IMR,BITH,1.0,No,2024-04-19
08F1AAEC-C21B-4C17-907A-2583634D9FF0,https://www.nps.gov/bith/contacts.htm,Phones Down,BITH,"Phone lines at the visitor center are currently not working. Please contact us via email or message us on social media. (Click/tap ""more"" below.)",Information,[],2024-04-14 10:35:44.0,Big Thicket,Big Thicket National Preserve,National Preserve,TX,IMR,BITH,1.0,No,2024-04-19
7252758A-5CA4-4718-9F08-6C0D72E9F9C7,https://www.nps.gov/seki/planyourvisit/road-construction.htm,Construction Closures And Traffic Delays Expected on Generals Highway From Late April to June,SEKI,"There will be construction occurring between Hospital Rock and Giant Forest Museum. The work will require periodic closures or traffic delays. For more information, including the expected construction schedule, click the ""more"" link:",Information,[],2024-04-13 19:47:05.0,Sequoia & Kings Canyon,Sequoia & Kings Canyon,National Parks,CA,PWR,SEKI,2.0,No,2024-04-19
07A7226E-0310-4D2E-B8AC-26E784B07E95,https://dot.ca.gov/travel,Highway 245 is Closed for Construction and Cannot Be Used to Reach or Leave the Grant Grove Area,SEKI,"Highway 245 outside the parks is under construction by CalTrans. It is scheduled to be closed through June 30, 2024. It is not possible to reach or leave the Grant Grove area using Highway 245. Alternate routes are available.",Information,[],2024-04-13 19:44:47.0,Sequoia & Kings Canyon,Sequoia & Kings Canyon,National Parks,CA,PWR,SEKI,2.0,Yes,2024-04-19
FB22FB25-F0C7-4BF4-AF5C-B4A57E689E6F,,Park Entrance Sign Closure,CAVO,"Starting Monday, April 15, the park entrance sign will be closed due to construction. Please use caution when entering and leaving the park as equipment and workers are nearby.",Park Closure,[],2024-04-13 13:28:11.0,Capulin Volcano,Capulin Volcano National Monument,National Monument,NM,IMR,CAVO,1.0,No,2024-04-19
C2D6C19D-1427-4C61-B507-6760425368CF,,Winter Road Closures,BLCA,The North Rim Road is still closed to cars for the season beyond the gate at the northern park boundary. It is expected to open in early May 2024. The South Rim Drive beyond the visitor center and East Portal Road are open for the season.,Park Closure,[],2024-04-13 10:23:12.0,Black Canyon Of The Gunnison,Black Canyon of the Gunnison National Park,National Park,CO,IMR,BLCA,1.0,Yes,2024-04-19
AE537686-3961-482F-95E8-075EA08F4BF4,,Increased Traffic on US-80 4/19-4/21,FOPU,"Due to event on nearby Tybee Island, traffic may affect entrance to and exit from Fort Pulaski National Monument.",Information,[],2024-04-13 09:45:46.0,Fort Pulaski,Fort Pulaski National Monument,National Monument,GA,SER,FOPU,1.0,No,2024-04-19
6D34115B-DF87-4221-97CA-A3611D78D17E,,Trail and Parking Area Re-Opened - Mt. Alava Trail,NPSA,Mt. Alava trail and parking area are now open to the public. Access to the summit from the Alava Trailhead is strictly prohibited due to serious risks. Death or serious injury can occur. Mt. Alava summit remains accessible from the Old Vatia trail.,Caution,[],2024-04-12 22:49:26.0,American Samoa,National Park of American Samoa,National Park,AS,PWR,NPSA,1.0,No,2024-04-19
