Data Periods,Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,7: Sunday (Su-Su),2: Peak AM (6am-10am),15,7427,7427,7.2,7.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),60,1334,2750,6.1,8.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),15,5895,5895,56.7,56.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,0: All Days (M-Su),0: All Day (12am-12am),323,4186,4292,19.8,20.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,0: All Days (M-Su),1: Early AM (12am-6am),9,4399,4747,36.9,36,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,0: All Days (M-Su),2: Peak AM (6am-10am),38,3107,3821,13,15.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),162,4542,4662,21.9,22.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),96,4060,4110,17.7,18.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,0: All Days (M-Su),5: Late PM (7pm-12am),18,1835,2668,12.7,15.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,1: Monday (M-M),0: All Day (12am-12am),428,3738,3979,13.3,14.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,1: Monday (M-M),1: Early AM (12am-6am),22,1245,2809,5.9,13.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,1: Monday (M-M),2: Peak AM (6am-10am),99,2574,3564,12.1,16.1,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,1: Monday (M-M),3: Mid-Day (10am-3pm),143,4666,4638,13.9,13.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,1: Monday (M-M),4: Peak PM (3pm-7pm),132,4000,3948,14.7,15.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,1: Monday (M-M),5: Late PM (7pm-12am),33,1799,3272,9.5,12.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,2: Tuesday (Tu-Tu),0: All Day (12am-12am),230,4067,4236,26.8,26.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),22,5701,5701,38.2,38.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),33,2870,4454,19.3,20.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),88,4682,4682,37.4,37.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),88,3342,3342,15.2,15.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,3: Wednesday (W-W),0: All Day (12am-12am),340,4554,4413,17.8,20.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,3: Wednesday (W-W),2: Peak AM (6am-10am),22,3526,4185,7.2,14.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,3: Wednesday (W-W),3: Mid-Day (10am-3pm),186,4769,4983,19.7,22.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,3: Wednesday (W-W),4: Peak PM (3pm-7pm),77,3355,4580,8,22.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,3: Wednesday (W-W),5: Late PM (7pm-12am),55,0,2332,0,16.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,4: Thursday (Th-Th),0: All Day (12am-12am),296,4427,4795,19.3,20,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,4: Thursday (Th-Th),2: Peak AM (6am-10am),33,1862,1862,8.9,8.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),175,4456,5292,19.8,21.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),66,6729,6108,28,26.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,4: Thursday (Th-Th),5: Late PM (7pm-12am),22,300,1282,0.9,6.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,5: Friday (F-F),0: All Day (12am-12am),219,4990,4896,24.5,24.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,5: Friday (F-F),3: Mid-Day (10am-3pm),114,5436,5222,28.1,27.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,5: Friday (F-F),4: Peak PM (3pm-7pm),105,4543,4543,20.9,20.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,6: Saturday (Sa-Sa),0: All Day (12am-12am),237,3631,4039,13.9,16.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,6: Saturday (Sa-Sa),1: Early AM (12am-6am),9,0,6511,0,47.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),26,3896,4644,2.7,8.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),132,3278,3572,16.3,17.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),70,4248,4378,12.7,14.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,7: Sunday (Su-Su),0: All Day (12am-12am),559,4109,4053,22.7,22.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,7: Sunday (Su-Su),1: Early AM (12am-6am),11,4950,4950,65.4,65.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,7: Sunday (Su-Su),2: Peak AM (6am-10am),66,4729,4336,21.1,19.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),318,4510,4444,22.7,22,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),143,2807,2991,18.6,19.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Ocean Drive,yes,199,no,7: Sunday (Su-Su),5: Late PM (7pm-12am),22,3406,3986,27.6,24.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,0: All Days (M-Su),0: All Day (12am-12am),924,3169,3428,20.3,21.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,0: All Days (M-Su),1: Early AM (12am-6am),42,2248,2308,13.4,13.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,0: All Days (M-Su),2: Peak AM (6am-10am),95,2803,3635,14.7,17.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),444,3458,3651,22.4,22.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),267,3151,3345,20.4,21.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,0: All Days (M-Su),5: Late PM (7pm-12am),76,2477,2784,18.7,19.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,1: Monday (M-M),0: All Day (12am-12am),756,3154,3290,17.6,18.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,1: Monday (M-M),1: Early AM (12am-6am),55,2157,2157,10.4,10.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,1: Monday (M-M),2: Peak AM (6am-10am),83,1552,3185,7.9,14,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,1: Monday (M-M),3: Mid-Day (10am-3pm),304,4248,4130,27.5,26.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,1: Monday (M-M),4: Peak PM (3pm-7pm),249,2842,2876,12,12.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,1: Monday (M-M),5: Late PM (7pm-12am),65,2033,2033,11.5,11.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,2: Tuesday (Tu-Tu),0: All Day (12am-12am),323,2993,3564,18.5,19,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),28,2184,5709,6.6,17.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),185,2985,3173,18.1,17.4,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),92,3407,3798,23.8,23.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),18,1393,3082,6.4,11.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,3: Wednesday (W-W),0: All Day (12am-12am),1098,3144,3390,20,20.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,3: Wednesday (W-W),1: Early AM (12am-6am),55,2940,2940,16.6,16.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,3: Wednesday (W-W),2: Peak AM (6am-10am),111,2681,3483,15.4,16,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,3: Wednesday (W-W),3: Mid-Day (10am-3pm),480,3263,3641,19.5,21.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,3: Wednesday (W-W),4: Peak PM (3pm-7pm),341,3466,3463,24.8,24.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,3: Wednesday (W-W),5: Late PM (7pm-12am),111,2091,2209,12,13.1,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,4: Thursday (Th-Th),0: All Day (12am-12am),738,2860,3206,14.7,16.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,4: Thursday (Th-Th),1: Early AM (12am-6am),9,1157,1157,6.2,6.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,4: Thursday (Th-Th),2: Peak AM (6am-10am),28,2227,2227,12.2,12.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),517,2994,3430,15.6,17.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),166,2660,2828,13.6,14.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,4: Thursday (Th-Th),5: Late PM (7pm-12am),18,2825,2825,7.5,7.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,5: Friday (F-F),0: All Day (12am-12am),1196,2820,2959,17.1,17.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,5: Friday (F-F),1: Early AM (12am-6am),74,1587,1924,6.4,9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,5: Friday (F-F),2: Peak AM (6am-10am),140,1843,2333,8.2,9.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,5: Friday (F-F),3: Mid-Day (10am-3pm),458,3354,3402,20.7,20.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,5: Friday (F-F),4: Peak PM (3pm-7pm),399,3006,3103,18.8,18.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,5: Friday (F-F),5: Late PM (7pm-12am),125,1993,2198,13.9,15.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,6: Saturday (Sa-Sa),0: All Day (12am-12am),1070,3117,3340,22,22.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,6: Saturday (Sa-Sa),1: Early AM (12am-6am),37,1909,1909,12.6,12.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Paradise Hill Road (near Cadillac Entrance Road),yes,203,yes,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),89,3998,4179,22.9,21.8,,
